id,created_at,character,char_json_data
4,2026-02-16 21:51:33.383378+00,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-16T21:51:33.061Z"",""num_strokes"":3,""strokes"":[[[212.60000610351562,105.59999084472656,0],[213.60000610351562,106.59999084472656,0.03],[214.60000610351562,107.59999084472656,0.035],[219.60000610351562,113.59999084472656,0.051],[227.60000610351562,123.59999084472656,0.068],[238.60000610351562,139.59999084472656,0.085],[251.60000610351562,156.59999084472656,0.101],[262.6000061035156,175.59999084472656,0.118],[273.6000061035156,195.59999084472656,0.135],[285.6000061035156,215.59999084472656,0.151],[294.6000061035156,230.59999084472656,0.168],[299.6000061035156,236.59999084472656,0.185],[301.6000061035156,238.59999084472656,0.201],[303.6000061035156,238.59999084472656,0.218],[304.6000061035156,238.59999084472656,0.268],[311.6000061035156,230.59999084472656,0.285],[325.6000061035156,207.59999084472656,0.301],[341.6000061035156,175.59999084472656,0.318],[355.6000061035156,140.59999084472656,0.335],[365.6000061035156,115.59999084472656,0.351],[370.6000061035156,99.59999084472656,0.368],[373.6000061035156,86.59999084472656,0.385],[375.6000061035156,79.59999084472656,0.401],[375.6000061035156,78.59999084472656,0.418]],[[311.6000061035156,238.59999084472656,0],[310.6000061035156,238.59999084472656,0.055],[309.6000061035156,239.59999084472656,0.07],[308.6000061035156,241.59999084472656,0.086],[307.6000061035156,242.59999084472656,0.103],[306.6000061035156,243.59999084472656,0.116]],[[305.6000061035156,243.59999084472656,0],[305.6000061035156,244.59999084472656,0.043],[305.6000061035156,251.59999084472656,0.058],[306.6000061035156,263.59999084472656,0.075],[308.6000061035156,280.59999084472656,0.091],[308.6000061035156,301.59999084472656,0.108],[306.6000061035156,325.59999084472656,0.125],[304.6000061035156,353.59999084472656,0.141],[300.6000061035156,375.59999084472656,0.158],[299.6000061035156,395.59999084472656,0.175],[299.6000061035156,419.59999084472656,0.191],[299.6000061035156,435.59999084472656,0.208],[299.6000061035156,440.59999084472656,0.225],[298.6000061035156,428.59999084472656,0.275],[297.6000061035156,414.59999084472656,0.29]]]}"
5,2026-02-16 21:51:39.373105+00,υ,"{""letter"":""υ"",""timestamp"":""2026-02-16T21:51:39.444Z"",""num_strokes"":1,""strokes"":[[[202.60000610351562,217.59999084472656,0],[202.60000610351562,218.59999084472656,0.001],[202.60000610351562,224.59999084472656,0.017],[205.60000610351562,236.59999084472656,0.034],[210.60000610351562,253.59999084472656,0.05],[217.60000610351562,271.59999084472656,0.067],[225.60000610351562,288.59999084472656,0.084],[233.60000610351562,311.59999084472656,0.1],[244.60000610351562,334.59999084472656,0.117],[253.60000610351562,352.59999084472656,0.134],[263.6000061035156,361.59999084472656,0.15],[271.6000061035156,363.59999084472656,0.167],[282.6000061035156,362.59999084472656,0.184],[293.6000061035156,356.59999084472656,0.2],[303.6000061035156,350.59999084472656,0.217],[315.6000061035156,343.59999084472656,0.234],[327.6000061035156,337.59999084472656,0.25],[337.6000061035156,331.59999084472656,0.267],[344.6000061035156,319.59999084472656,0.284],[345.6000061035156,297.59999084472656,0.3],[346.6000061035156,270.59999084472656,0.317],[342.6000061035156,237.59999084472656,0.334],[337.6000061035156,207.59999084472656,0.35],[335.6000061035156,183.59999084472656,0.367],[333.6000061035156,165.59999084472656,0.384],[332.6000061035156,148.59999084472656,0.4],[331.6000061035156,137.59999084472656,0.417],[331.6000061035156,127.59999084472656,0.434],[331.6000061035156,122.59999084472656,0.45],[332.6000061035156,121.59999084472656,0.458]]]}"
6,2026-02-17 21:39:24.551756+00,Η,"{""letter"":""Η"",""timestamp"":""2026-02-17T21:39:25.124Z"",""num_strokes"":2,""strokes"":[[[213.19998168945312,399.3999938964844,0],[214.19998168945312,398.3999938964844,0.024],[214.19998168945312,397.3999938964844,0.026],[216.19998168945312,391.3999938964844,0.043],[219.19998168945312,378.3999938964844,0.059],[221.19998168945312,355.3999938964844,0.076],[225.19998168945312,314.3999938964844,0.093],[232.19998168945312,261.3999938964844,0.109],[241.19998168945312,209.39999389648438,0.126],[251.19998168945312,171.39999389648438,0.143],[262.1999816894531,145.39999389648438,0.159],[270.1999816894531,136.39999389648438,0.176],[277.1999816894531,131.39999389648438,0.193],[281.1999816894531,131.39999389648438,0.209],[285.1999816894531,132.39999389648438,0.226],[291.1999816894531,138.39999389648438,0.243],[297.1999816894531,148.39999389648438,0.259],[302.1999816894531,160.39999389648438,0.276],[305.1999816894531,181.39999389648438,0.293],[305.1999816894531,221.39999389648438,0.309],[301.1999816894531,277.3999938964844,0.326],[296.1999816894531,332.3999938964844,0.343],[298.1999816894531,371.3999938964844,0.359],[302.1999816894531,393.3999938964844,0.376],[306.1999816894531,408.3999938964844,0.393],[309.1999816894531,416.3999938964844,0.409],[309.1999816894531,416.3999938964844,0.426],[310.1999816894531,415.3999938964844,0.476],[312.1999816894531,411.3999938964844,0.488]],[[232.19998168945312,278.3999938964844,0],[233.19998168945312,278.3999938964844,0.077],[233.19998168945312,278.3999938964844,0.08],[237.19998168945312,278.3999938964844,0.097],[245.19998168945312,279.3999938964844,0.114],[255.19998168945312,280.3999938964844,0.13],[266.1999816894531,281.3999938964844,0.147],[278.1999816894531,281.3999938964844,0.164],[289.1999816894531,281.3999938964844,0.18],[299.1999816894531,280.3999938964844,0.197],[304.1999816894531,280.3999938964844,0.214]]]}"
7,2026-02-17 21:39:32.873995+00,η,"{""letter"":""η"",""timestamp"":""2026-02-17T21:39:33.679Z"",""num_strokes"":2,""strokes"":[[[293.1999816894531,225.39999389648438,0],[292.1999816894531,225.39999389648438,0.004],[291.1999816894531,225.39999389648438,0.021],[290.1999816894531,225.39999389648438,0.035],[288.1999816894531,226.39999389648438,0.052],[285.1999816894531,228.39999389648438,0.069],[282.1999816894531,230.39999389648438,0.085],[280.1999816894531,233.39999389648438,0.102],[279.1999816894531,235.39999389648438,0.119],[278.1999816894531,239.39999389648438,0.135],[278.1999816894531,247.39999389648438,0.152],[278.1999816894531,256.3999938964844,0.169],[279.1999816894531,265.3999938964844,0.185],[281.1999816894531,273.3999938964844,0.202],[282.1999816894531,281.3999938964844,0.219],[285.1999816894531,289.3999938964844,0.235],[288.1999816894531,296.3999938964844,0.252],[291.1999816894531,299.3999938964844,0.269],[293.1999816894531,301.3999938964844,0.285],[297.1999816894531,303.3999938964844,0.302],[301.1999816894531,303.3999938964844,0.319],[305.1999816894531,303.3999938964844,0.335],[309.1999816894531,305.3999938964844,0.352],[313.1999816894531,305.3999938964844,0.369],[317.1999816894531,305.3999938964844,0.385],[323.1999816894531,305.3999938964844,0.402],[329.1999816894531,305.3999938964844,0.419],[333.1999816894531,304.3999938964844,0.435],[338.1999816894531,301.3999938964844,0.452],[342.1999816894531,297.3999938964844,0.469],[347.1999816894531,293.3999938964844,0.485],[351.1999816894531,290.3999938964844,0.502],[355.1999816894531,288.3999938964844,0.519],[358.1999816894531,285.3999938964844,0.535],[361.1999816894531,281.3999938964844,0.552],[364.1999816894531,277.3999938964844,0.569],[366.1999816894531,272.3999938964844,0.585],[367.1999816894531,266.3999938964844,0.602],[368.1999816894531,260.3999938964844,0.619],[368.1999816894531,254.39999389648438,0.636],[366.1999816894531,250.39999389648438,0.652],[364.1999816894531,248.39999389648438,0.669],[361.1999816894531,245.39999389648438,0.685],[357.1999816894531,244.39999389648438,0.702],[353.1999816894531,241.39999389648438,0.719],[350.1999816894531,238.39999389648438,0.735],[347.1999816894531,237.39999389648438,0.752],[344.1999816894531,234.39999389648438,0.769],[340.1999816894531,233.39999389648438,0.785],[336.1999816894531,230.39999389648438,0.802],[333.1999816894531,229.39999389648438,0.819],[329.1999816894531,227.39999389648438,0.835],[327.1999816894531,225.39999389648438,0.852],[325.1999816894531,225.39999389648438,0.869],[323.1999816894531,224.39999389648438,0.885],[321.1999816894531,223.39999389648438,0.902],[318.1999816894531,222.39999389648438,0.919],[316.1999816894531,221.39999389648438,0.935],[313.1999816894531,221.39999389648438,0.952],[310.1999816894531,221.39999389648438,0.969],[309.1999816894531,221.39999389648438,0.985],[308.1999816894531,221.39999389648438,1.002],[307.1999816894531,221.39999389648438,1.019],[305.1999816894531,221.39999389648438,1.036],[305.1999816894531,221.39999389648438,1.052],[302.1999816894531,221.39999389648438,1.069],[301.1999816894531,221.39999389648438,1.085],[298.1999816894531,221.39999389648438,1.102],[296.1999816894531,221.39999389648438,1.119],[294.1999816894531,221.39999389648438,1.135]],[[374.1999816894531,227.39999389648438,0],[373.1999816894531,227.39999389648438,0.029],[373.1999816894531,228.39999389648438,0.036],[373.1999816894531,229.39999389648438,0.052],[371.1999816894531,232.39999389648438,0.069],[370.1999816894531,234.39999389648438,0.086],[370.1999816894531,238.39999389648438,0.102],[370.1999816894531,242.39999389648438,0.119],[370.1999816894531,248.39999389648438,0.136],[372.1999816894531,256.3999938964844,0.152],[372.1999816894531,265.3999938964844,0.169],[373.1999816894531,273.3999938964844,0.186],[373.1999816894531,280.3999938964844,0.202],[373.1999816894531,285.3999938964844,0.219],[377.1999816894531,292.3999938964844,0.236],[381.1999816894531,297.3999938964844,0.252],[385.1999816894531,301.3999938964844,0.269],[390.1999816894531,305.3999938964844,0.286],[397.1999816894531,307.3999938964844,0.302],[404.1999816894531,311.3999938964844,0.319],[411.1999816894531,314.3999938964844,0.336],[418.1999816894531,317.3999938964844,0.352],[421.1999816894531,317.3999938964844,0.369],[423.1999816894531,317.3999938964844,0.386],[425.1999816894531,317.3999938964844,0.402],[425.1999816894531,317.3999938964844,0.42],[426.1999816894531,317.3999938964844,0.476],[426.1999816894531,316.3999938964844,0.486]]]}"
8,2026-02-17 21:39:43.025017+00,Ω,"{""letter"":""Ω"",""timestamp"":""2026-02-17T21:39:43.828Z"",""num_strokes"":1,""strokes"":[[[181.19998168945312,364.3999938964844,0],[182.19998168945312,364.3999938964844,0.068],[185.19998168945312,364.3999938964844,0.084],[189.19998168945312,364.3999938964844,0.1],[197.19998168945312,364.3999938964844,0.117],[209.19998168945312,364.3999938964844,0.134],[221.19998168945312,363.3999938964844,0.15],[233.19998168945312,363.3999938964844,0.167],[244.19998168945312,363.3999938964844,0.184],[253.19998168945312,364.3999938964844,0.2],[261.1999816894531,365.3999938964844,0.217],[270.1999816894531,366.3999938964844,0.234],[279.1999816894531,366.3999938964844,0.25],[285.1999816894531,366.3999938964844,0.267],[290.1999816894531,366.3999938964844,0.283],[292.1999816894531,365.3999938964844,0.3],[293.1999816894531,365.3999938964844,0.317],[293.1999816894531,365.3999938964844,0.34],[292.1999816894531,365.3999938964844,0.352],[290.1999816894531,365.3999938964844,0.367],[288.1999816894531,365.3999938964844,0.384],[286.1999816894531,365.3999938964844,0.4],[284.1999816894531,364.3999938964844,0.417],[281.1999816894531,361.3999938964844,0.434],[277.1999816894531,355.3999938964844,0.45],[270.1999816894531,346.3999938964844,0.467],[264.1999816894531,335.3999938964844,0.484],[257.1999816894531,323.3999938964844,0.5],[249.19998168945312,310.3999938964844,0.517],[242.19998168945312,297.3999938964844,0.534],[236.19998168945312,285.3999938964844,0.55],[233.19998168945312,274.3999938964844,0.567],[233.19998168945312,261.3999938964844,0.584],[233.19998168945312,247.39999389648438,0.6],[236.19998168945312,239.39999389648438,0.617],[241.19998168945312,231.39999389648438,0.634],[247.19998168945312,225.39999389648438,0.65],[255.19998168945312,221.39999389648438,0.667],[266.1999816894531,218.39999389648438,0.684],[281.1999816894531,216.39999389648438,0.7],[296.1999816894531,213.39999389648438,0.717],[308.1999816894531,210.39999389648438,0.734],[321.1999816894531,210.39999389648438,0.75],[334.1999816894531,213.39999389648438,0.767],[347.1999816894531,218.39999389648438,0.784],[358.1999816894531,225.39999389648438,0.8],[367.1999816894531,233.39999389648438,0.817],[375.1999816894531,241.39999389648438,0.834],[383.1999816894531,251.39999389648438,0.85],[389.1999816894531,264.3999938964844,0.867],[393.1999816894531,278.3999938964844,0.884],[395.1999816894531,292.3999938964844,0.9],[397.1999816894531,302.3999938964844,0.917],[397.1999816894531,310.3999938964844,0.934],[393.1999816894531,318.3999938964844,0.95],[390.1999816894531,325.3999938964844,0.967],[387.1999816894531,327.3999938964844,0.984],[384.1999816894531,329.3999938964844,1],[378.1999816894531,333.3999938964844,1.017],[373.1999816894531,337.3999938964844,1.034],[367.1999816894531,342.3999938964844,1.05],[361.1999816894531,348.3999938964844,1.067],[357.1999816894531,351.3999938964844,1.084],[352.1999816894531,354.3999938964844,1.1],[347.1999816894531,358.3999938964844,1.117],[343.1999816894531,361.3999938964844,1.134],[342.1999816894531,361.3999938964844,1.15],[341.1999816894531,361.3999938964844,1.263],[343.1999816894531,361.3999938964844,1.3],[346.1999816894531,361.3999938964844,1.317],[353.1999816894531,362.3999938964844,1.333],[365.1999816894531,362.3999938964844,1.35],[382.1999816894531,362.3999938964844,1.367],[402.1999816894531,362.3999938964844,1.384],[425.1999816894531,362.3999938964844,1.4],[440.1999816894531,365.3999938964844,1.417],[448.1999816894531,366.3999938964844,1.434],[453.1999816894531,369.3999938964844,1.45],[456.1999816894531,369.3999938964844,1.467]]]}"
9,2026-02-17 21:39:47.222709+00,ω,"{""letter"":""ω"",""timestamp"":""2026-02-17T21:39:48.030Z"",""num_strokes"":1,""strokes"":[[[230.19998168945312,241.39999389648438,0],[231.19998168945312,241.39999389648438,0.051],[232.19998168945312,245.39999389648438,0.062],[235.19998168945312,252.39999389648438,0.078],[237.19998168945312,261.3999938964844,0.095],[241.19998168945312,271.3999938964844,0.112],[245.19998168945312,283.3999938964844,0.128],[250.19998168945312,292.3999938964844,0.145],[254.19998168945312,298.3999938964844,0.162],[258.1999816894531,301.3999938964844,0.178],[262.1999816894531,302.3999938964844,0.195],[268.1999816894531,302.3999938964844,0.212],[274.1999816894531,300.3999938964844,0.228],[282.1999816894531,293.3999938964844,0.245],[291.1999816894531,288.3999938964844,0.262],[299.1999816894531,284.3999938964844,0.278],[306.1999816894531,279.3999938964844,0.295],[312.1999816894531,276.3999938964844,0.312],[315.1999816894531,271.3999938964844,0.328],[316.1999816894531,266.3999938964844,0.345],[316.1999816894531,261.3999938964844,0.362],[313.1999816894531,256.3999938964844,0.378],[309.1999816894531,251.39999389648438,0.395],[308.1999816894531,248.39999389648438,0.412],[308.1999816894531,247.39999389648438,0.428],[307.1999816894531,247.39999389648438,0.446],[309.1999816894531,257.3999938964844,0.495],[312.1999816894531,275.3999938964844,0.512],[316.1999816894531,295.3999938964844,0.528],[320.1999816894531,309.3999938964844,0.545],[323.1999816894531,317.3999938964844,0.562],[330.1999816894531,325.3999938964844,0.578],[335.1999816894531,326.3999938964844,0.595],[340.1999816894531,327.3999938964844,0.612],[346.1999816894531,328.3999938964844,0.628],[356.1999816894531,326.3999938964844,0.645],[367.1999816894531,321.3999938964844,0.662],[379.1999816894531,316.3999938964844,0.678],[389.1999816894531,310.3999938964844,0.695],[397.1999816894531,304.3999938964844,0.712],[404.1999816894531,295.3999938964844,0.728],[408.1999816894531,278.3999938964844,0.745],[409.1999816894531,260.3999938964844,0.762],[408.1999816894531,239.39999389648438,0.778],[406.1999816894531,226.39999389648438,0.795],[403.1999816894531,215.39999389648438,0.812],[401.1999816894531,207.39999389648438,0.828],[399.1999816894531,201.39999389648438,0.845],[398.1999816894531,197.39999389648438,0.862],[398.1999816894531,196.39999389648438,0.878],[397.1999816894531,193.39999389648438,0.895],[396.1999816894531,192.39999389648438,0.912],[396.1999816894531,191.39999389648438,0.928]]]}"
10,2026-02-17 21:39:53.263877+00,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-17T21:39:54.017Z"",""num_strokes"":2,""strokes"":[[[237.19998168945312,161.39999389648438,0],[238.19998168945312,161.39999389648438,0.063],[239.19998168945312,161.39999389648438,0.067],[241.19998168945312,163.39999389648438,0.083],[242.19998168945312,164.39999389648438,0.1],[244.19998168945312,165.39999389648438,0.116],[248.19998168945312,170.39999389648438,0.133],[251.19998168945312,177.39999389648438,0.15],[254.19998168945312,185.39999389648438,0.166],[257.1999816894531,192.39999389648438,0.183],[260.1999816894531,197.39999389648438,0.2],[262.1999816894531,204.39999389648438,0.216],[266.1999816894531,208.39999389648438,0.233],[269.1999816894531,210.39999389648438,0.25],[271.1999816894531,212.39999389648438,0.266],[274.1999816894531,213.39999389648438,0.283],[277.1999816894531,215.39999389648438,0.3],[281.1999816894531,217.39999389648438,0.316],[281.1999816894531,217.39999389648438,0.333],[282.1999816894531,217.39999389648438,0.35],[283.1999816894531,217.39999389648438,0.459],[285.1999816894531,215.39999389648438,0.466],[290.1999816894531,208.39999389648438,0.483],[297.1999816894531,194.39999389648438,0.5],[308.1999816894531,177.39999389648438,0.516],[320.1999816894531,161.39999389648438,0.533],[329.1999816894531,150.39999389648438,0.55],[336.1999816894531,145.39999389648438,0.566],[339.1999816894531,144.39999389648438,0.583],[341.1999816894531,143.39999389648438,0.6],[341.1999816894531,142.39999389648438,0.616],[343.1999816894531,141.39999389648438,0.633],[344.1999816894531,140.39999389648438,0.643]],[[283.1999816894531,221.39999389648438,0],[284.1999816894531,221.39999389648438,0.076],[284.1999816894531,222.39999389648438,0.079],[285.1999816894531,232.39999389648438,0.095],[288.1999816894531,250.39999389648438,0.112],[289.1999816894531,271.3999938964844,0.129],[290.1999816894531,289.3999938964844,0.145],[290.1999816894531,302.3999938964844,0.162],[290.1999816894531,316.3999938964844,0.179],[289.1999816894531,329.3999938964844,0.195],[289.1999816894531,342.3999938964844,0.212],[290.1999816894531,354.3999938964844,0.229],[291.1999816894531,358.3999938964844,0.245],[291.1999816894531,357.3999938964844,0.306],[291.1999816894531,357.3999938964844,0.307]]]}"
11,2026-02-17 21:39:58.398697+00,υ,"{""letter"":""υ"",""timestamp"":""2026-02-17T21:39:59.203Z"",""num_strokes"":1,""strokes"":[[[241.19998168945312,219.39999389648438,0],[242.19998168945312,219.39999389648438,0.037],[244.19998168945312,223.39999389648438,0.053],[244.19998168945312,225.39999389648438,0.07],[245.19998168945312,229.39999389648438,0.086],[245.19998168945312,230.39999389648438,0.103],[246.19998168945312,234.39999389648438,0.12],[249.19998168945312,241.39999389648438,0.136],[250.19998168945312,249.39999389648438,0.153],[252.19998168945312,255.39999389648438,0.17],[253.19998168945312,259.3999938964844,0.186],[255.19998168945312,261.3999938964844,0.203],[257.1999816894531,265.3999938964844,0.22],[261.1999816894531,267.3999938964844,0.236],[264.1999816894531,269.3999938964844,0.253],[268.1999816894531,271.3999938964844,0.27],[272.1999816894531,273.3999938964844,0.286],[276.1999816894531,275.3999938964844,0.303],[282.1999816894531,276.3999938964844,0.32],[287.1999816894531,277.3999938964844,0.336],[293.1999816894531,278.3999938964844,0.353],[296.1999816894531,278.3999938964844,0.37],[301.1999816894531,278.3999938964844,0.386],[308.1999816894531,278.3999938964844,0.403],[313.1999816894531,278.3999938964844,0.42],[320.1999816894531,278.3999938964844,0.436],[325.1999816894531,276.3999938964844,0.453],[327.1999816894531,272.3999938964844,0.47],[329.1999816894531,267.3999938964844,0.486],[331.1999816894531,261.3999938964844,0.503],[332.1999816894531,259.3999938964844,0.52],[333.1999816894531,256.3999938964844,0.536],[335.1999816894531,254.39999389648438,0.553],[337.1999816894531,251.39999389648438,0.57],[338.1999816894531,248.39999389648438,0.586],[339.1999816894531,244.39999389648438,0.603],[340.1999816894531,241.39999389648438,0.62],[340.1999816894531,238.39999389648438,0.636],[340.1999816894531,237.39999389648438,0.654],[340.1999816894531,236.39999389648438,0.67],[340.1999816894531,235.39999389648438,0.691],[340.1999816894531,234.39999389648438,0.703],[340.1999816894531,233.39999389648438,0.72],[340.1999816894531,233.39999389648438,0.737],[340.1999816894531,232.39999389648438,0.753],[339.1999816894531,232.39999389648438,0.77],[338.1999816894531,232.39999389648438,0.786],[337.1999816894531,231.39999389648438,0.803],[337.1999816894531,230.39999389648438,0.82],[336.1999816894531,230.39999389648438,0.837],[335.1999816894531,229.39999389648438,0.853],[335.1999816894531,229.39999389648438,0.87],[335.1999816894531,227.39999389648438,0.886],[335.1999816894531,224.39999389648438,0.903],[335.1999816894531,221.39999389648438,0.92],[335.1999816894531,220.39999389648438,0.936],[335.1999816894531,219.39999389648438,0.954],[335.1999816894531,218.39999389648438,0.97],[335.1999816894531,217.39999389648438,0.986]]]}"
12,2026-02-17 21:40:03.631712+00,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-17T21:40:04.444Z"",""num_strokes"":2,""strokes"":[[[209.19998168945312,168.39999389648438,0],[210.19998168945312,168.39999389648438,0.094],[211.19998168945312,169.39999389648438,0.098],[213.19998168945312,171.39999389648438,0.115],[218.19998168945312,177.39999389648438,0.132],[225.19998168945312,185.39999389648438,0.148],[232.19998168945312,193.39999389648438,0.165],[237.19998168945312,201.39999389648438,0.182],[243.19998168945312,209.39999389648438,0.198],[248.19998168945312,216.39999389648438,0.215],[253.19998168945312,221.39999389648438,0.232],[257.1999816894531,226.39999389648438,0.249],[261.1999816894531,230.39999389648438,0.265],[264.1999816894531,234.39999389648438,0.282],[265.1999816894531,238.39999389648438,0.298],[268.1999816894531,244.39999389648438,0.315],[271.1999816894531,248.39999389648438,0.332],[273.1999816894531,250.39999389648438,0.348],[274.1999816894531,250.39999389648438,0.365],[275.1999816894531,250.39999389648438,0.382],[278.1999816894531,250.39999389648438,0.398],[281.1999816894531,246.39999389648438,0.415],[285.1999816894531,241.39999389648438,0.432],[289.1999816894531,232.39999389648438,0.448],[295.1999816894531,220.39999389648438,0.465],[302.1999816894531,205.39999389648438,0.482],[313.1999816894531,193.39999389648438,0.498],[321.1999816894531,184.39999389648438,0.515],[325.1999816894531,179.39999389648438,0.532],[325.1999816894531,177.39999389648438,0.548]],[[279.1999816894531,251.39999389648438,0],[279.1999816894531,252.39999389648438,0.063],[279.1999816894531,256.3999938964844,0.072],[278.1999816894531,267.3999938964844,0.088],[278.1999816894531,281.3999938964844,0.105],[276.1999816894531,301.3999938964844,0.122],[274.1999816894531,325.3999938964844,0.138],[273.1999816894531,345.3999938964844,0.155],[273.1999816894531,361.3999938964844,0.172],[273.1999816894531,374.3999938964844,0.188],[273.1999816894531,380.3999938964844,0.205],[273.1999816894531,381.3999938964844,0.222],[273.1999816894531,381.3999938964844,0.269]]]}"
13,2026-02-17 21:40:07.338204+00,υ,"{""letter"":""υ"",""timestamp"":""2026-02-17T21:40:08.142Z"",""num_strokes"":1,""strokes"":[[[218.19998168945312,219.39999389648438,0],[218.19998168945312,220.39999389648438,0.066],[218.19998168945312,225.39999389648438,0.079],[219.19998168945312,229.39999389648438,0.096],[221.19998168945312,240.39999389648438,0.112],[222.19998168945312,253.39999389648438,0.129],[225.19998168945312,269.3999938964844,0.146],[229.19998168945312,286.3999938964844,0.162],[235.19998168945312,301.3999938964844,0.179],[242.19998168945312,313.3999938964844,0.196],[251.19998168945312,324.3999938964844,0.212],[260.1999816894531,332.3999938964844,0.229],[267.1999816894531,337.3999938964844,0.246],[273.1999816894531,340.3999938964844,0.262],[277.1999816894531,340.3999938964844,0.279],[281.1999816894531,341.3999938964844,0.296],[287.1999816894531,339.3999938964844,0.312],[295.1999816894531,337.3999938964844,0.329],[303.1999816894531,333.3999938964844,0.346],[310.1999816894531,326.3999938964844,0.362],[317.1999816894531,317.3999938964844,0.379],[321.1999816894531,304.3999938964844,0.396],[323.1999816894531,289.3999938964844,0.412],[323.1999816894531,272.3999938964844,0.429],[321.1999816894531,256.3999938964844,0.446],[321.1999816894531,241.39999389648438,0.462],[321.1999816894531,228.39999389648438,0.479],[323.1999816894531,220.39999389648438,0.496],[325.1999816894531,214.39999389648438,0.513],[325.1999816894531,212.39999389648438,0.529],[326.1999816894531,211.39999389648438,0.546]]]}"
