id,created_at,char,char_data
40,2026-02-17 21:56:12.55286,Α,"{""letter"":""Α"",""timestamp"":""2026-02-17T21:56:13.156Z"",""num_strokes"":2,""strokes"":[[[159.60000610351562,355.59999084472656,0],[160.60000610351562,355.59999084472656,0.013],[161.60000610351562,353.59999084472656,0.029],[162.60000610351562,344.59999084472656,0.045],[163.60000610351562,323.59999084472656,0.062],[169.60000610351562,292.59999084472656,0.079],[178.60000610351562,247.59999084472656,0.095],[191.60000610351562,203.59999084472656,0.112],[206.60000610351562,172.59999084472656,0.129],[221.60000610351562,147.59999084472656,0.145],[229.60000610351562,133.59999084472656,0.162],[233.60000610351562,130.59999084472656,0.179],[233.60000610351562,129.59999084472656,0.209],[237.60000610351562,137.59999084472656,0.245],[242.60000610351562,152.59999084472656,0.262],[247.60000610351562,173.59999084472656,0.279],[251.60000610351562,215.59999084472656,0.295],[256.6000061035156,262.59999084472656,0.312],[259.6000061035156,307.59999084472656,0.329],[258.6000061035156,346.59999084472656,0.345],[257.6000061035156,374.59999084472656,0.362],[256.6000061035156,385.59999084472656,0.379],[256.6000061035156,388.59999084472656,0.395],[256.6000061035156,383.59999084472656,0.445]],[[183.60000610351562,267.59999084472656,0],[184.60000610351562,267.59999084472656,0.075],[189.60000610351562,266.59999084472656,0.094],[199.60000610351562,266.59999084472656,0.109],[214.60000610351562,264.59999084472656,0.126],[233.60000610351562,262.59999084472656,0.143],[261.6000061035156,259.59999084472656,0.159],[277.6000061035156,256.59999084472656,0.176],[281.6000061035156,255.59999084472656,0.193],[281.6000061035156,255.59999084472656,0.211],[280.6000061035156,255.59999084472656,0.259],[277.6000061035156,256.59999084472656,0.276],[276.6000061035156,256.59999084472656,0.286]]]}"
42,2026-02-17 21:58:27.256728,Α,"{""letter"":""Α"",""timestamp"":""2026-02-17T21:58:27.079Z"",""num_strokes"":2,""strokes"":[[[227.95455169677734,356.0000305175781,0],[232.52095794677734,329.4158630371094,0.05],[238.53374481201172,309.4769287109375,0.066],[242.92899322509766,293.28094482421875,0.089],[247.3434066772461,274.9921875,0.101],[251.77132415771484,255.5589599609375,0.116],[256.54903411865234,232.40625,0.134],[260.5504379272461,211.3082275390625,0.15],[262.7784194946289,193.59268188476562,0.167],[264.56285858154297,177.9808349609375,0.184],[265.85157012939453,164.21026611328125,0.202],[268.7770004272461,152.59054565429688,0.216],[271.85868072509766,143.58029174804688,0.234],[274.70101165771484,136.62677001953125,0.25],[276.77237701416016,132.16729736328125,0.266],[278.05078887939453,130.47833251953125,0.285],[279.59803009033203,129.63955688476562,0.301],[281.77559661865234,129.75070190429688,0.32],[285.07564544677734,131.74716186523438,0.333],[288.95987701416016,136.51885986328125,0.351],[293.81002044677734,143.74435424804688,0.367],[300.4307632446289,156.2808837890625,0.384],[307.07991790771484,170.6676025390625,0.4],[312.9829635620117,186.1796875,0.417],[318.54688262939453,202.96697998046875,0.434],[323.5724563598633,220.25070190429688,0.449],[328.63211822509766,237.3480224609375,0.468],[334.1505813598633,254.60086059570312,0.484],[339.9307632446289,271.4194030761719,0.5],[345.83914947509766,287.4947204589844,0.516],[350.9833450317383,302.7915954589844,0.534],[355.93929290771484,317.8689880371094,0.55],[360.9300765991211,330.8551940917969,0.567],[365.56148529052734,341.3650817871094,0.583],[368.6711654663086,347.8877868652344,0.599],[370.46556854248047,351.0721130371094,0.616],[370.7922592163086,351.6104431152344,0.633],[370.8863754272461,351.7045593261719,0.65],[370.90914154052734,351.6818542480469,0.662]],[[245.27274322509766,259.81817626953125,0],[281.65909576416016,263.1569519042969,0.102],[298.63211822509766,263.2272644042969,0.119],[315.8324203491211,263.3409118652344,0.137],[331.7262191772461,263.85333251953125,0.153],[345.9307632446289,264.2116394042969,0.169],[357.06819915771484,264.3636474609375,0.186],[366.2265853881836,264.3636474609375,0.204],[372.50569915771484,264.3636474609375,0.219],[375.8071823120117,264.3636474609375,0.235],[377.05648040771484,264.3636474609375,0.252],[378.40914154052734,264.2272644042969,0.258]]]}"
43,2026-02-17 22:04:41.545811,Α,"{""letter"":""Α"",""timestamp"":""2026-02-17T22:04:42.212Z"",""num_strokes"":2,""strokes"":[[[209.60000610351562,345.59999084472656,0],[209.60000610351562,339.59999084472656,0.063],[213.60000610351562,315.59999084472656,0.08],[220.60000610351562,275.59999084472656,0.097],[231.60000610351562,236.59999084472656,0.114],[246.60000610351562,193.59999084472656,0.13],[261.6000061035156,158.59999084472656,0.147],[271.6000061035156,138.59999084472656,0.164],[277.6000061035156,127.59999084472656,0.18],[283.6000061035156,120.59999084472656,0.197],[285.6000061035156,118.59999084472656,0.213],[286.6000061035156,118.59999084472656,0.243],[287.6000061035156,119.59999084472656,0.247],[293.6000061035156,133.59999084472656,0.264],[295.6000061035156,155.59999084472656,0.28],[297.6000061035156,188.59999084472656,0.297],[298.6000061035156,236.59999084472656,0.314],[298.6000061035156,291.59999084472656,0.33],[298.6000061035156,338.59999084472656,0.347],[299.6000061035156,372.59999084472656,0.364],[299.6000061035156,394.59999084472656,0.38],[300.6000061035156,405.59999084472656,0.397],[300.6000061035156,407.59999084472656,0.414],[300.6000061035156,406.59999084472656,0.444],[300.6000061035156,405.59999084472656,0.447],[300.6000061035156,401.59999084472656,0.453]],[[221.60000610351562,258.59999084472656,0],[221.60000610351562,257.59999084472656,0.064],[223.60000610351562,257.59999084472656,0.069],[228.60000610351562,255.59999084472656,0.086],[237.60000610351562,256.59999084472656,0.103],[254.60000610351562,259.59999084472656,0.119],[273.6000061035156,262.59999084472656,0.136],[293.6000061035156,262.59999084472656,0.153],[305.6000061035156,262.59999084472656,0.169],[313.6000061035156,262.59999084472656,0.186],[318.6000061035156,263.59999084472656,0.203],[318.6000061035156,263.59999084472656,0.27]]]}"
58,2026-02-18 09:16:58.604647,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T09:16:58.516Z"",""num_strokes"":3,""strokes"":[[[218,272,0],[226,261,0.028],[227,254,0.045],[227,252,0.046],[231,241,0.062],[234,227,0.079],[238,212,0.096],[241,196,0.112],[244,181,0.129],[247,167,0.145],[250,154,0.162],[253,143,0.179],[257,133,0.195],[262,122,0.212],[267,111,0.229],[273,98,0.246],[278,88,0.262],[282,79,0.279],[284,73,0.296],[285,69,0.313],[286,68,0.329],[286,67,0.346],[286,66,0.362],[286,64,0.379],[287,62,0.396],[287,61,0.412],[288,60,0.429],[288,59,0.446],[289,59,0.462],[290,60,0.512],[290,66,0.529],[292,77,0.546],[296,95,0.563],[300,115,0.58],[303,132,0.596],[304,146,0.612],[304,159,0.63],[304,170,0.646],[304,180,0.662],[303,190,0.678],[302,199,0.695],[301,206,0.712],[301,213,0.729],[300,218,0.745],[300,222,0.763],[300,226,0.779],[300,229,0.796],[300,231,0.812],[301,233,0.829],[302,233,0.845],[303,234,0.862],[304,235,0.878],[305,236,0.895],[306,238,0.912],[307,239,0.928],[308,241,0.945],[308,242,0.962]],[[231,161,0],[244,157,0.043],[247,158,0.059],[254,158,0.076],[260,158,0.093],[269,158,0.11],[282,155,0.127],[298,151,0.143],[311,148,0.16],[320,146,0.177],[326,146,0.194],[329,146,0.21]],[[364,13,0]]]}"
59,2026-02-18 09:25:53.379057,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T09:25:52.976Z"",""num_strokes"":2,""strokes"":[[[231,392,0],[230,387.66666666666663,0.036],[230,378.66666666666663,0.054],[230,364.66666666666663,0.068],[230.33333333333331,343.66666666666663,0.069],[233,311.33333333333326,0.085],[237,278,0.101],[241.33333333333331,241.66666666666663,0.118],[247.66666666666666,198,0.134],[257,156,0.151],[265.66666666666663,131,0.168],[271,122,0.185],[274.3333333333333,119.33333333333331,0.201],[276.3333333333333,118,0.218],[278.66666666666663,117.33333333333331,0.235],[282.66666666666663,117,0.251],[289.66666666666663,117,0.268],[297.66666666666663,117,0.285],[305.66666666666663,122.33333333333331,0.302],[314,130,0.319],[321.3333333333333,141.33333333333331,0.335],[328,159.33333333333331,0.352],[333.66666666666663,185,0.369],[339.3333333333333,213,0.385],[346,238.66666666666663,0.402],[354,262.33333333333326,0.419],[361.3333333333333,283,0.435],[367.66666666666663,299.66666666666663,0.452],[373.3333333333333,314,0.468],[377,327.66666666666663,0.485],[379,338.33333333333326,0.502],[379.66666666666663,346.33333333333326,0.519],[379.66666666666663,351.66666666666663,0.536],[379.66666666666663,355.33333333333326,0.552],[379,359.33333333333326,0.569],[376.3333333333333,359.66666666666663,0.586]],[[236.66666666666666,300.33333333333326,0],[245.66666666666666,298.33333333333326,0.096],[254.66666666666666,298.33333333333326,0.111],[267.66666666666663,298.33333333333326,0.127],[280.66666666666663,298,0.144],[294.66666666666663,296.66666666666663,0.161],[307.66666666666663,296,0.177],[321,295.66666666666663,0.194],[332.66666666666663,295.66666666666663,0.211],[342,295.66666666666663,0.228],[348.66666666666663,295.66666666666663,0.245],[351.66666666666663,295.66666666666663,0.261],[352,295.66666666666663,0.278],[351.3333333333333,295,0.312]]]}"
73,2026-02-18 09:26:44.598077,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T09:26:44.397Z"",""num_strokes"":2,""strokes"":[[[224.33333333333331,284.66666666666663,0],[220.33333333333331,281.33333333333326,0.111],[225.33333333333331,257.66666666666663,0.128],[235.66666666666666,230.66666666666663,0.144],[245,206.33333333333326,0.161],[252.66666666666666,182,0.177],[257.3333333333333,157,0.194],[261.3333333333333,135.66666666666663,0.21],[266,119.33333333333331,0.227],[272,105.33333333333331,0.244],[279,94.66666666666663,0.26],[284.66666666666663,87.66666666666663,0.277],[288,85.33333333333331,0.294],[288.66666666666663,85.33333333333331,0.31],[288.66666666666663,86.33333333333331,0.327],[288.66666666666663,97.66666666666663,0.344],[286,121.33333333333331,0.36],[279.66666666666663,155,0.377],[276.66666666666663,193.33333333333326,0.394],[276.66666666666663,232.33333333333326,0.411],[284.66666666666663,266.33333333333326,0.427],[296.3333333333333,290.66666666666663,0.444],[306.3333333333333,307.33333333333326,0.461],[314,316.66666666666663,0.477],[321.3333333333333,322.33333333333326,0.494],[326,326.33333333333326,0.511],[328.3333333333333,328,0.527],[330,328,0.544]],[[233,203.33333333333326,0],[235.66666666666666,205.66666666666663,0.046],[248.33333333333331,208.33333333333326,0.063],[266.66666666666663,210.66666666666663,0.08],[290.66666666666663,211.66666666666663,0.096],[316.66666666666663,211.66666666666663,0.114]]]}"
148,2026-02-18 10:03:37.783802,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T10:03:37.564Z"",""num_strokes"":2,""strokes"":[[[193.91796875,358.09693908691406,0],[225.23189544677734,328.3338165283203,0.041],[275.3249282836914,215.3036346435547,0.16],[271.68253326416016,154.27452087402344,0.251],[269.76456451416016,149.81996154785156,0.278],[288.3760757446289,383.1772003173828,0.565]],[[323.25284576416016,263.22727966308594,0],[178.6594467163086,265.4080352783203,0.365]]]}"
87,2026-02-18 09:27:21.614919,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T09:27:21.428Z"",""num_strokes"":2,""strokes"":[[[241,303.83333333333326,0],[241,293.5,0.062],[245,284.5,0.077],[250,274.5,0.077],[259.3333333333333,252.16666666666663,0.093],[264.3333333333333,224.5,0.11],[264.66666666666663,190.5,0.126],[264.66666666666663,156.83333333333331,0.143],[265.66666666666663,130.83333333333331,0.16],[269.66666666666663,115.16666666666663,0.176],[277.3333333333333,105.5,0.193],[285,99.5,0.21],[290.66666666666663,97.5,0.226],[295,97.16666666666663,0.243],[298,97.5,0.26],[299.3333333333333,110.83333333333331,0.276],[299.3333333333333,133.16666666666663,0.293],[299.3333333333333,164.5,0.31],[295,201.5,0.327],[294,238.16666666666663,0.343],[298,267.5,0.36],[307.66666666666663,286.83333333333326,0.376],[315.66666666666663,299.5,0.393],[322,306.16666666666663,0.41],[325.66666666666663,309.5,0.427],[328.66666666666663,312.83333333333326,0.443],[330.3333333333333,313.83333333333326,0.46]],[[244,223.83333333333326,0],[256.66666666666663,225.5,0.044],[273.3333333333333,225.5,0.061],[294,225.5,0.078],[314,225.5,0.095],[322.66666666666663,226.5,0.111]]]}"
88,2026-02-18 09:28:05.852632,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T09:28:06.797Z"",""num_strokes"":2,""strokes"":[[[231.19998168945312,352.3999938964844,0],[231.19998168945312,351.3999938964844,0.044],[231.19998168945312,350.3999938964844,0.047],[234.19998168945312,335.3999938964844,0.063],[243.19998168945312,303.3999938964844,0.079],[262.1999816894531,244.39999389648438,0.096],[281.1999816894531,195.39999389648438,0.112],[302.1999816894531,146.39999389648438,0.129],[321.1999816894531,109.39999389648438,0.146],[333.1999816894531,86.39999389648438,0.162],[337.1999816894531,77.39999389648438,0.179],[337.1999816894531,75.39999389648438,0.196],[337.1999816894531,75.39999389648438,0.213],[337.1999816894531,76.39999389648438,0.23],[337.1999816894531,92.39999389648438,0.246],[337.1999816894531,128.39999389648438,0.262],[337.1999816894531,176.39999389648438,0.279],[337.1999816894531,224.39999389648438,0.296],[339.1999816894531,264.3999938964844,0.312],[343.1999816894531,300.3999938964844,0.329],[348.1999816894531,332.3999938964844,0.346],[353.1999816894531,359.3999938964844,0.362],[359.1999816894531,395.3999938964844,0.379],[369.1999816894531,432.3999938964844,0.396],[374.1999816894531,449.3999938964844,0.412],[375.1999816894531,452.3999938964844,0.43],[375.1999816894531,451.3999938964844,0.454],[375.1999816894531,447.3999938964844,0.463],[373.1999816894531,442.3999938964844,0.469]],[[257.1999816894531,265.3999938964844,0],[257.1999816894531,265.3999938964844,0.04],[265.1999816894531,265.3999938964844,0.056],[272.1999816894531,264.3999938964844,0.072],[285.1999816894531,263.3999938964844,0.089],[296.1999816894531,263.3999938964844,0.105],[305.1999816894531,263.3999938964844,0.122],[311.1999816894531,263.3999938964844,0.139],[317.1999816894531,262.3999938964844,0.156],[321.1999816894531,261.3999938964844,0.172],[326.1999816894531,261.3999938964844,0.189],[333.1999816894531,262.3999938964844,0.206],[337.1999816894531,263.3999938964844,0.222],[338.1999816894531,263.3999938964844,0.239]]]}"
90,2026-02-18 09:29:19.399269,Α,"{""letter"":""Α"",""timestamp"":""2026-02-18T09:29:18.954Z"",""num_strokes"":3,""strokes"":[[[265.68160247802734,163.68820190429688,0],[265.68160247802734,163.59445190429688,0.002],[265.78784942626953,163.23263549804688,0.01],[265.78784942626953,162.80731201171875,0.019],[266.21285247802734,161.88229370117188,0.053],[266.21285247802734,161.88229370117188,0.06],[266.21285247802734,161.88229370117188,0.069],[266.21285247802734,162.07327270507812,0.077],[266.21285247802734,163.0205078125,0.085],[266.21285247802734,164.43194580078125,0.096],[265.95764923095703,166.86703491210938,0.102],[265.94722747802734,169.77777099609375,0.111],[265.8940963745117,173.44131469726562,0.119],[265.84098052978516,177.87188720703125,0.127],[265.84098052978516,182.46112060546875,0.135],[265.73473358154297,187.21945190429688,0.144],[265.57535552978516,192.25,0.152],[265.1975784301758,197.305908203125,0.16],[264.39444732666016,202.58126831054688,0.169],[263.3836898803711,208.04931640625,0.177],[262.4944534301758,213.0357666015625,0.185],[260.9989700317383,220.35556030273438,0.194],[259.45348358154297,226.86563110351562,0.202],[258.0322952270508,232.105224609375,0.21],[256.2086868286133,239.95730590820312,0.219],[254.89826202392578,245.38507080078125,0.227],[253.28333282470703,253.25869750976562,0.236],[252.0107650756836,259.4100646972656,0.244],[250.86145782470703,264.0830383300781,0.252],[249.55937957763672,270.6204833984375,0.26],[248.73645782470703,274.2816162109375,0.269],[247.41458892822266,278.5225830078125,0.277],[246.50556182861328,280.868408203125,0.286],[245.1493148803711,283.0701599121094,0.296],[244.47222137451172,283.9493103027344,0.302],[243.8687515258789,284.355224609375,0.31],[243.59272003173828,284.3743591308594,0.32],[243.5309066772461,284.32952880859375,0.328],[243.82535552978516,283.8142395019531,0.335],[244.46492767333984,282.6277770996094,0.343],[245.17778778076172,281.7184143066406,0.351],[246.8993148803711,279.3063049316406,0.36],[248.25833892822266,276.9059143066406,0.368],[249.48021697998047,274.7597351074219,0.377],[251.51631927490234,271.0486145019531,0.386],[253.27881622314453,267.9930725097656,0.393],[254.99132537841797,264.58056640625,0.402],[256.74756622314453,261.0218811035156,0.41],[258.0215377807617,257.3746643066406,0.419],[258.92606353759766,253.43130493164062,0.428],[259.6791763305664,249.589599609375,0.435],[260.1572952270508,245.4913330078125,0.445]],[[271.52465057373047,164.27261352539062,0],[271.52465057373047,164.17813110351562,0.002],[271.52465057373047,163.68820190429688,0.01],[271.48819732666016,163.03094482421875,0.019],[271.3121566772461,162.67916870117188,0.027],[271.0590286254883,162.33193969726562,0.035],[270.90174102783203,162.055908203125,0.043],[270.7809066772461,162.04168701171875,0.052],[270.7809066772461,162.36041259765625,0.069],[270.9722213745117,162.87014770507812,0.077],[271.28160858154297,163.67257690429688,0.085],[272.1093978881836,164.71078491210938,0.093],[272.88195037841797,166.55557250976562,0.102],[273.71666717529297,168.7388916015625,0.11],[275.05106353759766,171.73715209960938,0.118],[276.89722442626953,175.73992919921875,0.127],[278.89514923095703,180.15869140625,0.136],[280.50174713134766,183.9263916015625,0.143],[282.9434127807617,189.98855590820312,0.151],[284.90938568115234,195.355224609375,0.16],[286.3979263305664,199.915283203125,0.168],[288.85277557373047,207.83749389648438,0.177],[291.12535858154297,213.99166870117188,0.185],[294.3673629760742,223.39932250976562,0.194],[297.5107650756836,231.95526123046875,0.202],[299.78368377685547,238.74514770507812,0.21],[302.63611602783203,248.68057250976562,0.218],[305.1395950317383,256.1010437011719,0.227],[306.95487213134766,261.6924133300781,0.235],[308.6486129760742,269.1080017089844,0.244],[310.09375762939453,275.29583740234375,0.252],[310.6416702270508,281.5941162109375,0.26],[311.76111602783203,287.00592041015625,0.268],[312.1604232788086,290.8017883300781,0.276],[312.63854217529297,293.29827880859375,0.284]],[[307.22049713134766,239.06390380859375,0],[307.22049713134766,239.01077270507812,0.005],[307.4138870239258,238.6048583984375,0.013],[307.43299102783203,238.22048950195312,0.022],[307.2861099243164,237.90139770507812,0.031],[306.4437484741211,237.78890991210938,0.039],[305.0698013305664,237.78890991210938,0.047],[303.28958892822266,237.68264770507812,0.055],[299.5388870239258,237.27291870117188,0.064],[295.4948196411133,236.65283203125,0.072],[290.8218765258789,235.65521240234375,0.08],[286.1128463745117,234.3909912109375,0.089],[282.3607864379883,233.48651123046875,0.097],[276.32848358154297,231.66632080078125,0.105],[272.1621627807617,230.77743530273438,0.113],[265.9118118286133,229.37326049804688,0.122],[263.34444427490234,229.02432250976562,0.126]]]}"
