id,created_at,char,char_data
96,2026-02-18 09:30:14.411022+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T09:30:13.936Z"",""num_strokes"":3,""strokes"":[[[324.1653060913086,111.1007080078125,0],[321.7732925415039,110.95904541015625,0.008],[317.2156295776367,110.74307250976562,0.016],[311.5996627807617,110.38507080078125,0.025],[305.76876068115234,110.16217041015625,0.033],[300.84618377685547,109.98507690429688,0.042],[293.80139923095703,109.54757690429688,0.05],[287.65694427490234,108.91043090820312,0.059],[282.3607864379883,108.33856201171875,0.067],[274.52709197998047,107.24307250976562,0.075],[267.4298629760742,106.20693969726562,0.083],[261.5913314819336,105.3638916015625,0.092],[253.44896697998047,104.29168701171875,0.1],[247.93993377685547,103.71701049804688,0.108],[242.1500015258789,103.34515380859375,0.117],[240.98125457763672,103.29202270507812,0.119]],[[287.30106353759766,110.72882080078125,0],[287.30106353759766,110.68820190429688,0.001],[287.5132064819336,110.42156982421875,0.008],[287.2197952270508,110.10800170898438,0.016],[286.5899429321289,109.88992309570312,0.024],[285.62918853759766,109.7725830078125,0.034],[284.79930877685547,109.7725830078125,0.041],[284.0913314819336,109.964599609375,0.05],[283.44896697998047,110.28646850585938,0.058],[282.90833282470703,110.71249389648438,0.066],[282.58231353759766,111.3392333984375,0.074],[282.4670181274414,112.1097412109375,0.083],[282.4670181274414,112.959716796875,0.091],[282.6795120239258,114.56423950195312,0.099],[282.8920364379883,115.50936889648438,0.109],[283.2107620239258,117.837158203125,0.117],[283.31702423095703,120.0826416015625,0.125],[283.31702423095703,122.7142333984375,0.133],[283.12535858154297,125.87191772460938,0.141],[282.6507034301758,129.072265625,0.15],[282.1694564819336,132.74166870117188,0.158],[281.9357681274414,136.82742309570312,0.167],[282.0257034301758,141.214599609375,0.174],[282.45381927490234,145.64761352539062,0.182],[282.78577423095703,149.13369750976562,0.191],[283.1045150756836,154.978515625,0.199],[283.1045150756836,160.08749389648438,0.208],[283.05139923095703,164.06008911132812,0.216],[282.3076400756836,169.31875610351562,0.224],[281.3243179321289,175.74966430664062,0.232],[280.58055877685547,180.6475830078125,0.241],[279.7888870239258,185.29306030273438,0.25],[279.1889114379883,190.02569580078125,0.257],[278.85486602783203,193.647216796875,0.266],[278.13611602783203,198.84756469726562,0.275],[277.60486602783203,202.99826049804688,0.283],[277.10208892822266,206.23651123046875,0.29]],[[317.41910552978516,220.47222900390625,0],[317.36910247802734,220.4222412109375,0.002],[317.21007537841797,220.10696411132812,0.01],[317.2065963745117,219.6829833984375,0.019],[317.2065963745117,219.323974609375,0.028],[317.2065963745117,218.84515380859375,0.035],[316.7406234741211,218.31216430664062,0.044],[316.5211868286133,217.83090209960938,0.052],[315.9059066772461,217.25244140625,0.061],[315.2666702270508,216.62014770507812,0.068],[314.6180648803711,215.97119140625,0.077],[314.08507537841797,215.33230590820312,0.085],[313.3114700317383,214.80630493164062,0.094],[312.0659713745117,214.17291259765625,0.102],[310.50521087646484,213.53021240234375,0.11],[308.5666732788086,212.8975830078125,0.118],[306.23058319091797,212.16390991210938,0.127],[303.18785858154297,211.52606201171875,0.135],[299.11771392822266,210.76321411132812,0.144],[295.28820037841797,209.984375,0.151],[290.9031295776367,209.33612060546875,0.16],[285.64342498779297,208.48263549804688,0.169],[280.03577423095703,207.74935913085938,0.177],[273.45487213134766,206.9420166015625,0.185],[266.2500228881836,206.1517333984375,0.194],[258.9975814819336,205.60382080078125,0.202],[251.90799713134766,205.234375,0.21],[244.15416717529297,204.765625,0.218],[236.31146240234375,204.28543090820312,0.227],[228.42118072509766,203.85595703125,0.235],[222.92083740234375,203.63369750976562,0.242]]]}"
121,2026-02-18 09:31:33.652873+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T09:31:33.239Z"",""num_strokes"":3,""strokes"":[[[340.6323013305664,132.02951049804688,0],[340.6323013305664,132.02951049804688,0],[340.29930877685547,131.85311889648438,0.007],[338.6888961791992,131.54202270507812,0.015],[336.48889923095703,131.2857666015625,0.024],[332.7326431274414,130.79339599609375,0.034],[328.15833282470703,130.35311889648438,0.041],[322.2920150756836,129.76840209960938,0.048],[315.9781265258789,129.1295166015625,0.057],[309.3982620239258,128.47048950195312,0.065],[301.6326370239258,127.80941772460938,0.074],[294.6312484741211,127.19549560546875,0.083],[287.0281295776367,126.69931030273438,0.091],[280.2892379760742,126.292724609375,0.099],[273.9340286254883,125.83541870117188,0.107],[268.33853912353516,125.197265625,0.115],[263.98160552978516,124.59271240234375,0.124],[260.4229202270508,124.11459350585938,0.132],[258.93541717529297,123.90243530273438,0.138]],[[308.22986602783203,130.06390380859375,0],[308.22986602783203,130.06390380859375,0.003],[308.11145782470703,130.06390380859375,0.02],[307.7757034301758,130.41180419921875,0.029],[307.1840286254883,131.01043701171875,0.037],[306.4760513305664,132.109375,0.045],[305.83924102783203,133.41043090820312,0.053],[305.0531234741211,135.30557250976562,0.061],[304.31009674072266,137.85556030273438,0.071],[303.6371536254883,141.00140380859375,0.079],[303.39583587646484,144.51254272460938,0.087],[303.39583587646484,148.70867919921875,0.095],[304.2215347290039,154.04757690429688,0.103],[304.77709197998047,159.43890380859375,0.111],[305.61597442626953,165.74374389648438,0.119],[306.46598052978516,172.50765991210938,0.128],[307.56424713134766,179.66354370117188,0.137],[308.4076461791992,186.74029541015625,0.145],[309.2826461791992,194.26284790039062,0.153],[309.64098358154297,201.55731201171875,0.162],[310.1420211791992,208.52053833007812,0.17],[310.65209197998047,216.20248413085938,0.179],[310.7263870239258,217.39132690429688,0.181]],[[340.95104217529297,222.59689331054688,0],[338.90209197998047,221.97119140625,0.005],[334.4632034301758,220.61807250976562,0.013],[329.31771087646484,219.3038330078125,0.022],[322.41947174072266,217.92153930664062,0.031],[315.45313262939453,216.9132080078125,0.04],[308.26563262939453,215.95867919921875,0.047],[300.76285552978516,215.09201049804688,0.056],[293.0211868286133,214.30630493164062,0.064],[285.2576370239258,213.84967041015625,0.072],[277.3545150756836,213.42257690429688,0.08],[269.36356353759766,213.07293701171875,0.09],[260.95694732666016,212.80694580078125,0.098],[253.25174713134766,212.71701049804688,0.106],[244.1323013305664,212.71701049804688,0.114],[236.62535095214844,212.55764770507812,0.125]]]}"
140,2026-02-18 10:00:19.661428+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T10:00:19.734Z"",""num_strokes"":1,""strokes"":[[[353.2251510620117,155.4520721435547,0],[353.2251510620117,155.4520721435547,0.049],[346.3423385620117,155.0887908935547,0.066],[327.35477447509766,154.7251434326172,0.08],[306.63744354248047,153.5248565673828,0.096],[291.61116790771484,152.4051971435547,0.113],[282.1235885620117,151.81748962402344,0.129],[277.6587448120117,152.18077087402344,0.146],[277.06075286865234,152.5443878173828,0.163],[275.5284194946289,153.89918518066406,0.18],[274.7524948120117,155.0380096435547,0.196],[274.7524948120117,156.54261779785156,0.213],[275.8252944946289,156.89772033691406,0.23],[282.71912384033203,157.99644470214844,0.246],[291.32495880126953,157.99644470214844,0.263],[298.2667007446289,157.5287628173828,0.28],[305.2042007446289,156.39634704589844,0.297],[312.05648040771484,154.33558654785156,0.313],[314.9457015991211,153.27134704589844,0.33],[316.0763626098633,152.9076690673828,0.347],[317.19922637939453,152.5443878173828,0.364],[317.4399948120117,152.5443878173828,0.38],[317.4399948120117,152.5443878173828,0.397],[317.25853729248047,153.76100158691406,0.414],[316.8189010620117,158.96949768066406,0.43],[316.0614700317383,168.52024841308594,0.447],[314.9399948120117,179.87892150878906,0.464],[314.1520004272461,192.7485809326172,0.48],[313.37821197509766,206.76490783691406,0.497],[312.8988265991211,219.6264190673828,0.514],[312.8988265991211,232.1814727783203,0.531],[313.6012191772461,242.8338165283203,0.547],[314.3384323120117,251.6665496826172,0.564],[314.66336822509766,257.79905700683594,0.581],[314.3519515991211,260.1814727783203,0.598],[313.8824691772461,261.33274841308594,0.614],[313.27095794677734,261.22621154785156,0.631],[305.00000762939453,260.1970977783203,0.648],[292.82955169677734,257.54225158691406,0.664],[281.09554290771484,255.60939025878906,0.681],[269.59375762939453,254.4126434326172,0.698],[256.89774322509766,253.95668029785156,0.715],[249.3213882446289,255.04722595214844,0.726]]]}"
182,2026-02-18 10:22:08.797375+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T10:22:08.558Z"",""num_strokes"":1,""strokes"":[[[290,64.66666666666669,0],[287.3333333333333,78,0.029],[287.66666666666663,89,0.046],[287.66666666666663,93.33333333333331,0.046],[286.66666666666663,113,0.063],[286.3333333333333,134.33333333333331,0.079],[286.3333333333333,158.33333333333331,0.096],[286.3333333333333,186.66666666666669,0.113],[286.3333333333333,217.66666666666669,0.129],[286.3333333333333,246.99999999999994,0.146],[286.3333333333333,271.99999999999994,0.163],[286.3333333333333,288.66666666666674,0.179],[286.3333333333333,291,0.196]]]}"
196,2026-02-18 10:22:41.401583+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T10:22:41.247Z"",""num_strokes"":1,""strokes"":[[[307.3333333333333,90.66666666666669,0],[306.66666666666663,97.66666666666669,0.009],[306.66666666666663,103,0.015],[306.3333333333333,105.33333333333331,0.016],[305,117.66666666666669,0.03],[303.66666666666663,134,0.046],[302.3333333333333,154.66666666666669,0.063],[301.3333333333333,180,0.082],[301.3333333333333,211.66666666666669,0.096],[300.3333333333333,251.99999999999994,0.113],[299.66666666666663,295.3333333333333,0.13],[299,331.6666666666667,0.147],[299,358,0.163],[298.3333333333333,370.66666666666674,0.18]]]}"
276,2026-02-18 13:14:24.839544+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T13:14:25.602Z"",""num_strokes"":1,""strokes"":[[[278.41741943359375,129.98965454101562,0],[279.41741943359375,130.98965454101562,0.095],[279.41741943359375,131.98965454101562,0.11],[279.41741943359375,132.98965454101562,0.124],[280.41741943359375,135.98965454101562,0.14],[280.41741943359375,137.98965454101562,0.157],[281.41741943359375,140.98965454101562,0.174],[281.41741943359375,146.98965454101562,0.19],[281.41741943359375,149.98965454101562,0.207],[281.41741943359375,153.98965454101562,0.224],[281.41741943359375,156.98965454101562,0.24],[281.41741943359375,157.98965454101562,0.257],[281.41741943359375,160.98965454101562,0.274],[281.41741943359375,162.98965454101562,0.29],[281.41741943359375,164.98965454101562,0.307],[281.41741943359375,165.98965454101562,0.324],[281.41741943359375,168.98965454101562,0.341],[281.41741943359375,170.98965454101562,0.357],[281.41741943359375,174.98965454101562,0.374],[281.41741943359375,179.98965454101562,0.39],[281.41741943359375,180.98965454101562,0.407],[281.41741943359375,182.98965454101562,0.424],[281.41741943359375,183.98965454101562,0.44],[281.41741943359375,184.98965454101562,0.457],[281.41741943359375,186.98965454101562,0.474],[281.41741943359375,189.98965454101562,0.491],[281.41741943359375,191.98965454101562,0.507],[281.41741943359375,194.98965454101562,0.524],[281.41741943359375,196.98965454101562,0.541],[281.41741943359375,199.98965454101562,0.558],[281.41741943359375,201.98965454101562,0.575],[281.41741943359375,203.98965454101562,0.591],[281.41741943359375,207.98965454101562,0.608],[281.41741943359375,210.98965454101562,0.624],[281.41741943359375,214.98965454101562,0.641],[281.41741943359375,217.98965454101562,0.658],[281.41741943359375,219.98965454101562,0.674],[280.41741943359375,220.98965454101562,0.691],[280.41741943359375,222.98965454101562,0.708],[280.41741943359375,224.98965454101562,0.724],[280.41741943359375,224.98965454101562,0.741],[280.41741943359375,226.98965454101562,0.758],[280.41741943359375,227.98965454101562,0.774],[280.41741943359375,228.98965454101562,1.062],[280.41741943359375,227.98965454101562,1.094]]]}"
290,2026-02-18 13:17:03.085254+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T13:17:03.857Z"",""num_strokes"":1,""strokes"":[[[282.41741943359375,180.1219482421875,0],[283.41741943359375,181.1219482421875,0.047],[284.41741943359375,184.1219482421875,0.063],[285.41741943359375,188.1219482421875,0.08],[286.41741943359375,192.1219482421875,0.096],[287.41741943359375,198.1219482421875,0.113],[288.41741943359375,206.1219482421875,0.13],[288.41741943359375,212.1219482421875,0.146],[288.41741943359375,218.1219482421875,0.163],[288.41741943359375,225.1219482421875,0.18],[288.41741943359375,231.1219482421875,0.196],[288.41741943359375,239.1219482421875,0.213],[288.41741943359375,250.1219482421875,0.23],[288.41741943359375,267.1219482421875,0.246],[288.41741943359375,280.1219482421875,0.263],[288.41741943359375,292.1219482421875,0.28],[288.41741943359375,302.1219482421875,0.297],[288.41741943359375,309.1219482421875,0.313],[288.41741943359375,314.1219482421875,0.33],[289.41741943359375,316.1219482421875,0.347],[289.41741943359375,317.1219482421875,0.363],[290.41741943359375,318.1219482421875,0.496],[293.41741943359375,313.1219482421875,0.51]]]}"
304,2026-02-18 13:18:17.34626+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T13:18:18.105Z"",""num_strokes"":1,""strokes"":[[[287.41741943359375,154.98965454101562,0],[287.41741943359375,155.98965454101562,0.017],[287.41741943359375,156.98965454101562,0.086],[287.41741943359375,157.98965454101562,0.1],[287.41741943359375,168.98965454101562,0.118],[287.41741943359375,214.1219482421875,0.134],[287.41741943359375,226.1219482421875,0.15],[287.41741943359375,237.1219482421875,0.166],[287.41741943359375,247.1219482421875,0.183],[287.41741943359375,253.1219482421875,0.2],[288.41741943359375,257.1219482421875,0.216],[290.41741943359375,260.1219482421875,0.233],[292.41741943359375,262.1219482421875,0.25],[294.41741943359375,264.1219482421875,0.266],[294.41741943359375,265.1219482421875,0.349],[294.41741943359375,264.1219482421875,0.445],[294.41741943359375,261.1219482421875,0.453],[294.41741943359375,259.1219482421875,0.461]]]}"
575,2026-02-18 16:35:18.703391+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T16:35:18.835Z"",""num_strokes"":3,""strokes"":[[[303.6809768676758,106.67063903808594,0],[303.6809768676758,106.67063903808594,0.019],[303.6809768676758,106.67063903808594,0.084],[305.1186294555664,121.93638610839844,0.117],[305.1186294555664,141.50816345214844,0.133],[304.24732208251953,158.89268493652344,0.149],[301.6783676147461,219.99729919433594,0.167],[299.7099380493164,235.6261749267578,0.183],[297.11006927490234,252.28504943847656,0.2],[295.1631851196289,267.10911560058594,0.216],[294.5752944946289,279.4897003173828,0.233],[294.5752944946289,292.3059844970703,0.25],[296.03731536865234,303.87196350097656,0.266],[297.57804107666016,315.1198272705078,0.283],[298.40904998779297,322.75038146972656,0.3],[298.8882827758789,325.39479064941406,0.316],[299.64575958251953,326.6938018798828,0.333],[299.8467330932617,326.6938018798828,0.336]],[[332.9149398803711,99.89479064941406,0],[289.41954803466797,106.62217712402344,0.089],[262.16197967529297,108.71894836425781,0.105],[244.73339080810547,110.92295837402344,0.117]],[[340.10372161865234,327.6526641845703,0],[340.10372161865234,327.6526641845703,0.025],[323.57828521728516,333.3302764892578,0.057],[301.9519577026367,337.3452911376953,0.073],[277.8699722290039,340.6624298095703,0.089],[257.4423599243164,343.2997589111328,0.106],[250.4845199584961,344.9145050048828,0.115]]]}"
589,2026-02-18 16:36:03.605062+00,Ι,"{""letter"":""Ι"",""timestamp"":""2026-02-18T16:36:03.730Z"",""num_strokes"":1,""strokes"":[[[301.76407623291016,128.18434143066406,0],[301.76407623291016,128.18434143066406,0.001],[300.28052520751953,157.50450134277344,0.095],[298.76416778564453,175.82969665527344,0.112],[297.3091506958008,193.1781768798828,0.129],[295.79512786865234,212.05149841308594,0.146],[294.3293685913086,229.4187469482422,0.162],[293.6168441772461,240.86293029785156,0.179],[292.3459243774414,248.4925079345703,0.196],[290.8108444213867,258.18800354003906,0.213],[288.9258041381836,266.2485809326172,0.23],[287.4328842163086,273.76527404785156,0.246],[286.9072799682617,279.03858947753906,0.263],[286.9072799682617,285.8245391845703,0.279],[286.9072799682617,287.8548126220703,0.285]]]}"
