id,created_at,char,char_data
4,2026-02-16 21:51:33.383378,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-16T21:51:33.061Z"",""num_strokes"":3,""strokes"":[[[212.60000610351562,105.59999084472656,0],[213.60000610351562,106.59999084472656,0.03],[214.60000610351562,107.59999084472656,0.035],[219.60000610351562,113.59999084472656,0.051],[227.60000610351562,123.59999084472656,0.068],[238.60000610351562,139.59999084472656,0.085],[251.60000610351562,156.59999084472656,0.101],[262.6000061035156,175.59999084472656,0.118],[273.6000061035156,195.59999084472656,0.135],[285.6000061035156,215.59999084472656,0.151],[294.6000061035156,230.59999084472656,0.168],[299.6000061035156,236.59999084472656,0.185],[301.6000061035156,238.59999084472656,0.201],[303.6000061035156,238.59999084472656,0.218],[304.6000061035156,238.59999084472656,0.268],[311.6000061035156,230.59999084472656,0.285],[325.6000061035156,207.59999084472656,0.301],[341.6000061035156,175.59999084472656,0.318],[355.6000061035156,140.59999084472656,0.335],[365.6000061035156,115.59999084472656,0.351],[370.6000061035156,99.59999084472656,0.368],[373.6000061035156,86.59999084472656,0.385],[375.6000061035156,79.59999084472656,0.401],[375.6000061035156,78.59999084472656,0.418]],[[311.6000061035156,238.59999084472656,0],[310.6000061035156,238.59999084472656,0.055],[309.6000061035156,239.59999084472656,0.07],[308.6000061035156,241.59999084472656,0.086],[307.6000061035156,242.59999084472656,0.103],[306.6000061035156,243.59999084472656,0.116]],[[305.6000061035156,243.59999084472656,0],[305.6000061035156,244.59999084472656,0.043],[305.6000061035156,251.59999084472656,0.058],[306.6000061035156,263.59999084472656,0.075],[308.6000061035156,280.59999084472656,0.091],[308.6000061035156,301.59999084472656,0.108],[306.6000061035156,325.59999084472656,0.125],[304.6000061035156,353.59999084472656,0.141],[300.6000061035156,375.59999084472656,0.158],[299.6000061035156,395.59999084472656,0.175],[299.6000061035156,419.59999084472656,0.191],[299.6000061035156,435.59999084472656,0.208],[299.6000061035156,440.59999084472656,0.225],[298.6000061035156,428.59999084472656,0.275],[297.6000061035156,414.59999084472656,0.29]]]}"
10,2026-02-17 21:39:53.263877,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-17T21:39:54.017Z"",""num_strokes"":2,""strokes"":[[[237.19998168945312,161.39999389648438,0],[238.19998168945312,161.39999389648438,0.063],[239.19998168945312,161.39999389648438,0.067],[241.19998168945312,163.39999389648438,0.083],[242.19998168945312,164.39999389648438,0.1],[244.19998168945312,165.39999389648438,0.116],[248.19998168945312,170.39999389648438,0.133],[251.19998168945312,177.39999389648438,0.15],[254.19998168945312,185.39999389648438,0.166],[257.1999816894531,192.39999389648438,0.183],[260.1999816894531,197.39999389648438,0.2],[262.1999816894531,204.39999389648438,0.216],[266.1999816894531,208.39999389648438,0.233],[269.1999816894531,210.39999389648438,0.25],[271.1999816894531,212.39999389648438,0.266],[274.1999816894531,213.39999389648438,0.283],[277.1999816894531,215.39999389648438,0.3],[281.1999816894531,217.39999389648438,0.316],[281.1999816894531,217.39999389648438,0.333],[282.1999816894531,217.39999389648438,0.35],[283.1999816894531,217.39999389648438,0.459],[285.1999816894531,215.39999389648438,0.466],[290.1999816894531,208.39999389648438,0.483],[297.1999816894531,194.39999389648438,0.5],[308.1999816894531,177.39999389648438,0.516],[320.1999816894531,161.39999389648438,0.533],[329.1999816894531,150.39999389648438,0.55],[336.1999816894531,145.39999389648438,0.566],[339.1999816894531,144.39999389648438,0.583],[341.1999816894531,143.39999389648438,0.6],[341.1999816894531,142.39999389648438,0.616],[343.1999816894531,141.39999389648438,0.633],[344.1999816894531,140.39999389648438,0.643]],[[283.1999816894531,221.39999389648438,0],[284.1999816894531,221.39999389648438,0.076],[284.1999816894531,222.39999389648438,0.079],[285.1999816894531,232.39999389648438,0.095],[288.1999816894531,250.39999389648438,0.112],[289.1999816894531,271.3999938964844,0.129],[290.1999816894531,289.3999938964844,0.145],[290.1999816894531,302.3999938964844,0.162],[290.1999816894531,316.3999938964844,0.179],[289.1999816894531,329.3999938964844,0.195],[289.1999816894531,342.3999938964844,0.212],[290.1999816894531,354.3999938964844,0.229],[291.1999816894531,358.3999938964844,0.245],[291.1999816894531,357.3999938964844,0.306],[291.1999816894531,357.3999938964844,0.307]]]}"
12,2026-02-17 21:40:03.631712,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-17T21:40:04.444Z"",""num_strokes"":2,""strokes"":[[[209.19998168945312,168.39999389648438,0],[210.19998168945312,168.39999389648438,0.094],[211.19998168945312,169.39999389648438,0.098],[213.19998168945312,171.39999389648438,0.115],[218.19998168945312,177.39999389648438,0.132],[225.19998168945312,185.39999389648438,0.148],[232.19998168945312,193.39999389648438,0.165],[237.19998168945312,201.39999389648438,0.182],[243.19998168945312,209.39999389648438,0.198],[248.19998168945312,216.39999389648438,0.215],[253.19998168945312,221.39999389648438,0.232],[257.1999816894531,226.39999389648438,0.249],[261.1999816894531,230.39999389648438,0.265],[264.1999816894531,234.39999389648438,0.282],[265.1999816894531,238.39999389648438,0.298],[268.1999816894531,244.39999389648438,0.315],[271.1999816894531,248.39999389648438,0.332],[273.1999816894531,250.39999389648438,0.348],[274.1999816894531,250.39999389648438,0.365],[275.1999816894531,250.39999389648438,0.382],[278.1999816894531,250.39999389648438,0.398],[281.1999816894531,246.39999389648438,0.415],[285.1999816894531,241.39999389648438,0.432],[289.1999816894531,232.39999389648438,0.448],[295.1999816894531,220.39999389648438,0.465],[302.1999816894531,205.39999389648438,0.482],[313.1999816894531,193.39999389648438,0.498],[321.1999816894531,184.39999389648438,0.515],[325.1999816894531,179.39999389648438,0.532],[325.1999816894531,177.39999389648438,0.548]],[[279.1999816894531,251.39999389648438,0],[279.1999816894531,252.39999389648438,0.063],[279.1999816894531,256.3999938964844,0.072],[278.1999816894531,267.3999938964844,0.088],[278.1999816894531,281.3999938964844,0.105],[276.1999816894531,301.3999938964844,0.122],[274.1999816894531,325.3999938964844,0.138],[273.1999816894531,345.3999938964844,0.155],[273.1999816894531,361.3999938964844,0.172],[273.1999816894531,374.3999938964844,0.188],[273.1999816894531,380.3999938964844,0.205],[273.1999816894531,381.3999938964844,0.222],[273.1999816894531,381.3999938964844,0.269]]]}"
22,2026-02-17 21:47:52.443931,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-17T21:47:52.192Z"",""num_strokes"":4,""strokes"":[[[222.95455169677734,98.6363525390625,0.001],[245.69710540771484,113.24325561523438,0.07],[257.44213104248047,124.04440307617188,0.084],[269.59517669677734,132.9254150390625,0.1],[345.20455169677734,196.3863525390625,0.276],[345.71273040771484,196.97799682617188,0.286],[345.7954635620117,197.06817626953125,0.301],[345.9091262817383,197.04550170898438,0.455]],[[412.6363754272461,71.81817626953125,0],[399.3047103881836,97.46627807617188,0.097],[392.12789154052734,108.8245849609375,0.114],[386.61009979248047,119.59268188476562,0.131],[381.85582733154297,129.5823974609375,0.149],[377.5582504272461,139.90695190429688,0.166],[373.55504608154297,148.93502807617188,0.182],[368.93148040771484,157.5081787109375,0.198],[363.29903411865234,166.36471557617188,0.215],[359.0855941772461,173.04296875,0.232],[355.8583450317383,177.92831420898438,0.248],[353.3292007446289,181.46627807617188,0.266],[351.8863754272461,184.22726440429688,0.288],[350.2954635620117,186.25,0.3],[348.1786575317383,188.82705688476562,0.315],[346.38993072509766,190.85690307617188,0.331],[344.91478729248047,192.38955688476562,0.348],[343.8501510620117,193.39276123046875,0.365],[343.3966751098633,193.87606811523438,0.383],[343.31819915771484,194.02273559570312,0.398]],[[354.3636703491211,202.45455932617188,0],[353.81819915771484,226.25750732421875,0.097],[353.81819915771484,238.96307373046875,0.113],[353.6363754272461,248.81817626953125,0.131],[353.6338882446289,260.85723876953125,0.147],[354.0792007446289,271.59588623046875,0.164],[355.1864700317383,281.7084655761719,0.182],[356.9723129272461,292.0823974609375,0.196],[359.14205169677734,301.5533142089844,0.215],[360.79085540771484,310.3014831542969,0.237],[362.18148040771484,317.9294128417969,0.249],[362.85582733154297,324.4516906738281,0.267],[363.15914154052734,330.2500305175781,0.296],[363.43184661865234,336.0682067871094,0.302],[363.5454635620117,340.7954406738281,0.318],[363.5454635620117,344.5024719238281,0.329],[363.5454635620117,346.0454406738281,0.35],[363.4673385620117,347.3778381347656,0.372],[362.99327850341797,348.4939880371094,0.383],[362.61617279052734,349.2350769042969,0.397],[362.28624725341797,349.6867980957031,0.415],[362.01461029052734,350.0163269042969,0.437],[361.90914154052734,350.1590881347656,0.447],[361.19319915771484,352.0657043457031,0.546],[360.5454635620117,353.7727355957031,0.561]],[[350.9091262817383,194.5,0],[353.5302200317383,214.13815307617188,0.149],[355.51953887939453,219.7503662109375,0.164],[356.0909194946289,222.97265625,0.181],[356.2560501098633,224.61434936523438,0.198],[356.61861419677734,226.09765625,0.214],[357.01172637939453,227.32000732421875,0.231],[357.20243072509766,227.9296875,0.249],[357.58275604248047,228.41940307617188,0.264],[357.9091262817383,228.81817626953125,0.271]]]}"
120,2026-02-18 09:31:33.255501,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-18T09:31:33.120Z"",""num_strokes"":2,""strokes"":[[[287,177.66666666666663,0],[290,188.33333333333331,0.044],[294.66666666666663,196.33333333333331,0.061],[300.3333333333333,206,0.078],[303.66666666666663,211,0.093],[306,213,0.11],[309,214,0.127],[311.3333333333333,214,0.145]],[[338,164.66666666666663,0],[334.66666666666663,174.66666666666663,0.026],[332,185.66666666666663,0.042],[324.66666666666663,204.66666666666663,0.06],[315.66666666666663,228,0.077],[308,250,0.092],[302.3333333333333,265,0.109],[299.66666666666663,273.33333333333326,0.126],[298.3333333333333,278.33333333333326,0.143]]]}"
38,2026-02-17 21:49:00.5336,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-17T21:49:00.466Z"",""num_strokes"":2,""strokes"":[[[220.77273559570312,114,0],[229.26067352294922,118.03302001953125,0.155],[242.81713104248047,126.67364501953125,0.17],[255.68785858154297,135.76031494140625,0.186],[266.79618072509766,143.58700561523438,0.204],[277.3853073120117,150.19815063476562,0.221],[288.29370880126953,156.6136474609375,0.24],[299.3654251098633,163.90377807617188,0.255],[308.89525604248047,170.64132690429688,0.271],[316.40235137939453,176.02627563476562,0.287],[321.8224563598633,180.18536376953125,0.305],[325.52095794677734,183.25643920898438,0.321],[327.7496566772461,184.90234375,0.337],[329.00711822509766,185.70809936523438,0.354],[329.7418441772461,186.04550170898438,0.371],[329.9318313598633,186.04550170898438,0.387],[329.9698257446289,185.9769287109375,0.404],[331.06250762939453,184.08346557617188,0.421],[333.3746566772461,178.76425170898438,0.438],[336.3302688598633,171.34591674804688,0.455],[340.5810012817383,160.69708251953125,0.471],[348.1598129272461,147.95028686523438,0.488],[355.71236419677734,135.6953125,0.505],[363.43148040771484,124.95138549804688,0.521],[370.29796600341797,115.26278686523438,0.537],[376.47872161865234,106.44921875,0.554],[382.93257904052734,99.02200317382812,0.57],[388.38887786865234,93.29049682617188,0.587],[392.91585540771484,88.4925537109375,0.604],[395.32210540771484,85.35867309570312,0.621],[395.81819915771484,84.5,0.637],[395.93184661865234,84.45455932617188,0.654],[396.45455169677734,84.90908813476562,0.683]],[[328.0909194946289,185.3636474609375,0],[329.47196197509766,224.09628295898438,0.099],[331.0713882446289,238.4730224609375,0.115],[332.44532012939453,251.61541748046875,0.133],[333.7276382446289,265.90838623046875,0.148],[334.61719512939453,280.53302001953125,0.164],[335.7798385620117,294.9712829589844,0.182],[335.75142669677734,308.1377868652344,0.198],[335.1292953491211,319.5166931152344,0.218],[333.78446197509766,327.7933044433594,0.231],[332.5571823120117,334.6264343261719,0.248],[331.53907012939453,338.7599792480469,0.266],[331.27274322509766,339.8711242675781,0.284],[331.27274322509766,340.0682067871094,0.303],[331.31819915771484,340.0454406738281,0.312]]]}"
54,2026-02-18 09:16:42.975139,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-18T09:16:42.893Z"",""num_strokes"":1,""strokes"":[[[217,81,0],[224,89,0.061],[223,89,0.077],[223,91,0.077],[226,99,0.094],[231,110,0.111],[237,122,0.127],[241,134,0.143],[243,144,0.161],[244,152,0.177],[244,160,0.194],[244,166,0.211],[244,172,0.228],[244,175,0.244],[244,176,0.26],[245,176,0.294],[246,176,0.327],[247,176,0.344],[248,176,0.393],[249,176,0.46],[250,176,0.543],[250,175,0.596],[251,173,0.611],[252,171,0.628],[254,167,0.645],[255,164,0.661],[256,160,0.678],[257,155,0.694],[258,148,0.711],[259,139,0.727],[260,131,0.744],[262,125,0.761],[263,120,0.778],[264,117,0.795],[265,115,0.811],[265,112,0.828],[265,108,0.844],[266,105,0.861],[268,102,0.877],[270,99,0.894],[272,96,0.911],[274,93,0.928],[276,90,0.945],[278,88,0.961],[280,85,0.979],[282,83,0.994],[284,80,1.011],[285,79,1.028],[285,78,1.045],[285,77,1.06],[285,80,1.244],[285,85,1.261],[285,93,1.278],[281,104,1.295],[275,116,1.311],[270,125,1.328],[265,133,1.345],[262,139,1.362],[259,145,1.377],[257,150,1.395],[255,155,1.411],[253,159,1.428],[252,165,1.444],[250,171,1.461],[248,177,1.477],[245,183,1.495],[243,188,1.511],[241,195,1.528],[238,201,1.545],[235,207,1.561],[232,213,1.578],[229,219,1.595],[227,223,1.611],[226,228,1.628],[225,235,1.644],[225,241,1.661],[225,246,1.678]]]}"
69,2026-02-18 09:26:29.880912,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-18T09:26:29.701Z"",""num_strokes"":2,""strokes"":[[[271.66666666666663,98,0],[270.66666666666663,119,0.027],[277.3333333333333,137,0.044],[287.66666666666663,166.33333333333331,0.06],[302.66666666666663,205,0.077],[319.3333333333333,244,0.094],[329.66666666666663,274,0.11],[332.66666666666663,292.66666666666663,0.127],[333.66666666666663,305,0.144],[336,313.66666666666663,0.161],[339.66666666666663,317.33333333333326,0.177]],[[303,176.33333333333326,0],[306.3333333333333,165.66666666666663,0.061],[309.66666666666663,160.66666666666663,0.077],[314.3333333333333,155.66666666666663,0.078],[325.66666666666663,141,0.094],[339.3333333333333,121.66666666666663,0.112],[351.66666666666663,100,0.128],[361,81.66666666666663,0.145],[364.3333333333333,74.33333333333331,0.161]]]}"
83,2026-02-18 09:27:11.36654,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-18T09:27:11.173Z"",""num_strokes"":3,""strokes"":[[[282.3333333333333,63.66666666666663,0],[281.66666666666663,77.66666666666663,0.016],[289.3333333333333,94.66666666666663,0.028],[302.66666666666663,116.66666666666663,0.044],[315,143.66666666666663,0.061],[325,173.33333333333326,0.078],[331.3333333333333,201.66666666666663,0.095],[334.3333333333333,224,0.112],[335.3333333333333,283.16666666666663,0.128],[336,288.16666666666663,0.144],[337.3333333333333,289.83333333333326,0.161]],[[323,165.5,0]],[[327.66666666666663,141.5,0],[334.3333333333333,141.16666666666663,0.145],[341,135.16666666666663,0.162],[347.3333333333333,128.83333333333331,0.178],[351.66666666666663,123.5,0.194],[354.3333333333333,117.5,0.211],[357,108.83333333333331,0.227],[360.3333333333333,97.5,0.244],[363,82.16666666666663,0.261]]]}"
100,2026-02-18 09:30:40.088223,Υ,"{""letter"":""Υ"",""timestamp"":""2026-02-18T09:30:39.685Z"",""num_strokes"":1,""strokes"":[[[281.5639114379883,140.1566162109375,0],[281.5639114379883,140.118408203125,0.005],[281.5639114379883,139.90765380859375,0.013],[281.5639114379883,139.837890625,0.021],[281.5639114379883,139.944091796875,0.03],[281.5639114379883,140.541015625,0.038],[281.75035858154297,141.63198852539062,0.047],[281.98889923095703,142.49374389648438,0.056],[282.48819732666016,144.13958740234375,0.063],[282.9149398803711,145.569091796875,0.071],[283.3701400756836,146.69027709960938,0.08],[284.0076370239258,148.28372192382812,0.089],[284.9697952270508,150.4267578125,0.096],[285.9906234741211,152.44515991210938,0.104],[287.12084197998047,154.98263549804688,0.113],[288.85277557373047,158.11318969726562,0.121],[290.32848358154297,160.76666259765625,0.13],[292.1357650756836,164.25936889648438,0.139],[293.51563262939453,166.50347900390625,0.146],[295.0562515258789,168.84063720703125,0.156],[296.6024398803711,170.86492919921875,0.163],[297.71215057373047,172.08090209960938,0.171],[298.9076461791992,172.85174560546875,0.179],[299.88993072509766,172.98403930664062,0.188],[300.80870819091797,172.98403930664062,0.196],[301.9166946411133,172.71563720703125,0.205],[303.2423629760742,171.88507080078125,0.213],[304.64757537841797,170.600341796875,0.221],[305.99861907958984,169.21249389648438,0.23],[307.75174713134766,167.1409912109375,0.238],[310.04308319091797,164.29550170898438,0.246],[312.13785552978516,161.53717041015625,0.255],[314.11319732666016,158.7076416015625,0.263],[316.0659713745117,155.948974609375,0.272],[317.6135482788086,153.36459350585938,0.279],[318.6468734741211,151.09689331054688,0.288],[319.4076461791992,149.05731201171875,0.296],[319.72327423095703,147.49444580078125,0.305],[319.75659942626953,146.33160400390625,0.313],[319.75659942626953,145.65835571289062,0.321],[319.4139175415039,145.43020629882812,0.329],[318.89444732666016,145.415283203125,0.337],[318.3187484741211,145.95004272460938,0.347],[317.73299407958984,146.8013916015625,0.355],[317.09166717529297,148.02987670898438,0.363],[316.62259674072266,149.39932250976562,0.371],[316.09134674072266,151.52395629882812,0.38],[315.53507232666016,155.26809692382812,0.387],[315.10868072509766,159.225341796875,0.396],[314.58995819091797,163.77291870117188,0.404],[313.95243072509766,168.50244140625,0.412],[313.43541717529297,172.665283203125,0.422],[312.7979202270508,178.24270629882812,0.429],[312.0399398803711,184.90487670898438,0.437],[311.4416732788086,190.65347290039062,0.446],[311.02916717529297,196.47152709960938,0.454],[310.6732711791992,201.61492919921875,0.462],[310.33194732666016,209.3079833984375,0.471],[310.1420211791992,214.94793701171875,0.479],[309.7107620239258,222.56875610351562,0.487],[309.23889923095703,227.59033203125,0.496],[308.44202423095703,233.11459350585938,0.504],[307.22049713134766,237.94827270507812,0.512],[305.59444427490234,243.17153930664062,0.521],[304.6708450317383,246.18194580078125,0.529],[304.03333282470703,247.66909790039062,0.531]]]}"
