id,created_at,char,char_data
17,2026-02-17 21:40:24.151553,ε,"{""letter"":""ε"",""timestamp"":""2026-02-17T21:40:24.876Z"",""num_strokes"":1,""strokes"":[[[322.1999816894531,199.39999389648438,0],[321.1999816894531,199.39999389648438,0.031],[321.1999816894531,198.39999389648438,0.033],[316.1999816894531,197.39999389648438,0.049],[311.1999816894531,197.39999389648438,0.066],[305.1999816894531,196.39999389648438,0.083],[299.1999816894531,196.39999389648438,0.099],[291.1999816894531,196.39999389648438,0.116],[285.1999816894531,197.39999389648438,0.133],[281.1999816894531,197.39999389648438,0.149],[277.1999816894531,199.39999389648438,0.166],[271.1999816894531,201.39999389648438,0.183],[267.1999816894531,205.39999389648438,0.199],[262.1999816894531,209.39999389648438,0.216],[260.1999816894531,212.39999389648438,0.233],[258.1999816894531,215.39999389648438,0.249],[258.1999816894531,219.39999389648438,0.266],[262.1999816894531,223.39999389648438,0.283],[268.1999816894531,228.39999389648438,0.299],[273.1999816894531,231.39999389648438,0.316],[278.1999816894531,235.39999389648438,0.333],[289.1999816894531,241.39999389648438,0.349],[298.1999816894531,247.39999389648438,0.366],[305.1999816894531,250.39999389648438,0.383],[307.1999816894531,251.39999389648438,0.399],[306.1999816894531,251.39999389648438,0.479],[305.1999816894531,251.39999389648438,0.484],[303.1999816894531,250.39999389648438,0.499],[298.1999816894531,250.39999389648438,0.516],[293.1999816894531,249.39999389648438,0.533],[285.1999816894531,251.39999389648438,0.549],[276.1999816894531,253.39999389648438,0.566],[268.1999816894531,254.39999389648438,0.583],[261.1999816894531,257.3999938964844,0.599],[257.1999816894531,263.3999938964844,0.616],[254.19998168945312,273.3999938964844,0.633],[251.19998168945312,285.3999938964844,0.649],[249.19998168945312,300.3999938964844,0.666],[253.19998168945312,317.3999938964844,0.683],[264.1999816894531,337.3999938964844,0.699],[277.1999816894531,356.3999938964844,0.716],[288.1999816894531,367.3999938964844,0.733],[299.1999816894531,374.3999938964844,0.749],[309.1999816894531,376.3999938964844,0.766],[316.1999816894531,374.3999938964844,0.783],[323.1999816894531,369.3999938964844,0.799],[328.1999816894531,362.3999938964844,0.816],[331.1999816894531,356.3999938964844,0.833],[334.1999816894531,349.3999938964844,0.849],[337.1999816894531,344.3999938964844,0.866],[338.1999816894531,339.3999938964844,0.883],[339.1999816894531,335.3999938964844,0.899],[339.1999816894531,332.3999938964844,0.909]]]}"
19,2026-02-17 21:40:32.511277,ε,"{""letter"":""ε"",""timestamp"":""2026-02-17T21:40:33.324Z"",""num_strokes"":1,""strokes"":[[[305.1999816894531,205.39999389648438,0],[304.1999816894531,205.39999389648438,0.098],[300.1999816894531,205.39999389648438,0.108],[291.1999816894531,205.39999389648438,0.124],[282.1999816894531,205.39999389648438,0.141],[273.1999816894531,205.39999389648438,0.158],[265.1999816894531,209.39999389648438,0.174],[260.1999816894531,210.39999389648438,0.191],[257.1999816894531,212.39999389648438,0.208],[256.1999816894531,214.39999389648438,0.224],[253.19998168945312,218.39999389648438,0.241],[252.19998168945312,224.39999389648438,0.258],[251.19998168945312,228.39999389648438,0.274],[250.19998168945312,233.39999389648438,0.291],[252.19998168945312,241.39999389648438,0.308],[255.19998168945312,248.39999389648438,0.324],[261.1999816894531,253.39999389648438,0.341],[266.1999816894531,255.39999389648438,0.358],[272.1999816894531,257.3999938964844,0.374],[279.1999816894531,258.3999938964844,0.391],[285.1999816894531,259.3999938964844,0.408],[289.1999816894531,259.3999938964844,0.424],[293.1999816894531,259.3999938964844,0.441],[295.1999816894531,259.3999938964844,0.458],[294.1999816894531,259.3999938964844,0.529],[293.1999816894531,260.3999938964844,0.541],[289.1999816894531,261.3999938964844,0.558],[285.1999816894531,264.3999938964844,0.574],[280.1999816894531,268.3999938964844,0.591],[275.1999816894531,270.3999938964844,0.608],[271.1999816894531,271.3999938964844,0.624],[268.1999816894531,273.3999938964844,0.641],[265.1999816894531,273.3999938964844,0.658],[265.1999816894531,275.3999938964844,0.674],[261.1999816894531,277.3999938964844,0.691],[258.1999816894531,284.3999938964844,0.708],[257.1999816894531,294.3999938964844,0.724],[257.1999816894531,305.3999938964844,0.741],[260.1999816894531,315.3999938964844,0.758],[265.1999816894531,325.3999938964844,0.774],[269.1999816894531,332.3999938964844,0.791],[277.1999816894531,337.3999938964844,0.808],[284.1999816894531,341.3999938964844,0.824],[293.1999816894531,344.3999938964844,0.841],[301.1999816894531,347.3999938964844,0.858],[309.1999816894531,352.3999938964844,0.874],[316.1999816894531,354.3999938964844,0.891],[317.1999816894531,354.3999938964844,0.908],[318.1999816894531,354.3999938964844,0.925],[319.1999816894531,352.3999938964844,0.941],[320.1999816894531,345.3999938964844,0.958],[320.1999816894531,331.3999938964844,0.972]]]}"
29,2026-02-17 21:48:30.33313,ε,"{""letter"":""ε"",""timestamp"":""2026-02-17T21:48:30.248Z"",""num_strokes"":1,""strokes"":[[[335.5454635620117,195.68182373046875,0],[306.00533294677734,195.40097045898438,0.098],[296.5699691772461,199.84237670898438,0.116],[288.34659576416016,206.78836059570312,0.132],[281.91016387939453,213.82528686523438,0.148],[277.43289947509766,220.50534057617188,0.167],[275.2915573120117,226.97869873046875,0.182],[275.25533294677734,233.92080688476562,0.199],[276.82849884033203,240.29510498046875,0.214],[280.0806198120117,245.90411376953125,0.232],[285.24007415771484,249.98190307617188,0.249],[292.5103073120117,252.25390625,0.265],[301.0479507446289,252.68182373046875,0.283],[310.50463104248047,252.64596557617188,0.299],[320.4659194946289,252.21347045898438,0.315],[326.2755813598633,251.5433349609375,0.332],[329.13602447509766,250.88641357421875,0.348],[330.01172637939453,250.63641357421875,0.364],[330.3409194946289,250.63641357421875,0.383],[326.10868072509766,251.88885498046875,0.45],[321.00782012939453,253.98153686523438,0.465],[314.62963104248047,257.9740905761719,0.483],[307.81534576416016,264.04864501953125,0.498],[301.8597640991211,270.3838806152344,0.515],[297.09908294677734,277.23828125,0.531],[293.49219512939453,286.0962829589844,0.548],[290.57315826416016,297.8228454589844,0.565],[289.95455169677734,306.8753662109375,0.581],[290.3487319946289,314.27911376953125,0.599],[292.3011703491211,319.3877868652344,0.614],[295.80611419677734,323.1352844238281,0.631],[301.01244354248047,325.5717468261719,0.648],[307.8931198120117,326.4776306152344,0.664],[316.30541229248047,326.4779968261719,0.681],[328.08203887939453,325.1772155761719,0.699],[339.6552200317383,322.1686706542969,0.715],[349.1846694946289,317.9428405761719,0.731],[355.8590316772461,313.5149230957031,0.749],[360.1182632446289,309.7844543457031,0.767],[361.67403411865234,307.9517517089844,0.782],[361.90914154052734,307.41766357421875,0.799],[361.95455169677734,307.1015625,0.814]]]}"
33,2026-02-17 21:48:45.548996,ε,"{""letter"":""ε"",""timestamp"":""2026-02-17T21:48:45.461Z"",""num_strokes"":1,""strokes"":[[[330.6818313598633,168.27276611328125,0],[316.30648040771484,165.84552001953125,0.066],[294.5035629272461,166.2659912109375,0.082],[282.1392135620117,172.45245361328125,0.098],[271.14278411865234,180.06179809570312,0.115],[262.42613983154297,188.97726440429688,0.133],[257.08133697509766,198.3121337890625,0.15],[254.82315826416016,207.95455932617188,0.165],[255.6885757446289,216.26065063476562,0.182],[259.6807632446289,222.56784057617188,0.198],[266.83345794677734,228.00604248046875,0.215],[279.5113754272461,232.80398559570312,0.232],[292.8956069946289,235.58172607421875,0.25],[305.39134979248047,236.31817626953125,0.266],[316.13602447509766,236.31817626953125,0.282],[324.9282760620117,236.31817626953125,0.299],[331.4659194946289,236.28976440429688,0.316],[336.62039947509766,235.91796875,0.332],[338.7880325317383,235.68182373046875,0.349],[339.1363754272461,235.68182373046875,0.365],[337.38423919677734,235.85516357421875,0.4],[333.48047637939453,236.89813232421875,0.416],[327.71166229248047,238.09658813476562,0.432],[318.2020950317383,239.24752807617188,0.449],[305.1377944946289,241.45281982421875,0.465],[293.7738265991211,245.20455932617188,0.482],[282.75675201416016,251.26455688476562,0.499],[273.3174819946289,259.7588806152344,0.515],[265.65023040771484,269.7748718261719,0.533],[260.4634323120117,280.91796875,0.549],[259.15518951416016,292.00750732421875,0.565],[260.22835540771484,301.45098876953125,0.582],[264.03409576416016,310.3089599609375,0.599],[271.1299819946289,316.9897155761719,0.616],[278.93680572509766,321.3455505371094,0.632],[288.83133697509766,323.9087219238281,0.649],[301.16548919677734,324.4545593261719,0.665],[314.6214828491211,323.7745056152344,0.682],[328.6193313598633,320.8639831542969,0.699],[342.2113265991211,314.7819519042969,0.715],[353.0635757446289,307.4819030761719,0.733],[360.7642135620117,301.7819519042969,0.749],[366.34590911865234,298.5379943847656,0.765],[370.23262786865234,297.1083068847656,0.782],[373.89351654052734,295.9094543457031,0.801],[374.6363754272461,295.5909118652344,0.807]]]}"
47,2026-02-18 09:16:15.468513,ε,"{""letter"":""ε"",""timestamp"":""2026-02-18T09:16:15.380Z"",""num_strokes"":2,""strokes"":[[[313,115,0],[311,114,0.06],[307,113,0.075],[305,113,0.076],[296,113,0.093],[287,113,0.109],[278,113,0.126],[272,113,0.143],[267,113,0.159],[264,115,0.176],[262,118,0.192],[259,121,0.209],[257,124,0.227],[256,127,0.243],[255,130,0.259],[253,133,0.275],[251,137,0.291],[250,141,0.308],[249,144,0.325],[248,146,0.341],[247,149,0.358],[247,152,0.375],[247,154,0.391],[249,157,0.408],[253,160,0.425],[257,162,0.441],[261,166,0.458],[264,168,0.475],[267,169,0.491],[270,170,0.508],[273,170,0.525],[275,170,0.541],[277,170,0.559],[279,170,0.575],[280,170,0.592],[282,170,0.609],[283,169,0.626],[284,168,0.642],[285,168,0.659],[286,167,0.676],[283,167,0.843],[274,167,0.86],[262,168,0.877],[252,169,0.894],[245,170,0.91],[240,172,0.927],[236,175,0.944],[234,177,0.96],[232,181,0.976],[231,184,0.994],[231,188,1.01],[231,191,1.027],[231,193,1.043],[231,196,1.06],[231,198,1.076],[231,200,1.093],[233,203,1.109],[236,207,1.126],[239,211,1.143],[242,214,1.16],[246,218,1.177],[250,222,1.194],[253,225,1.21],[257,229,1.227],[261,231,1.243],[265,233,1.261],[268,233,1.276],[273,233,1.293],[276,233,1.31],[280,232,1.326],[282,231,1.343],[285,230,1.36],[287,230,1.377],[289,230,1.394],[291,229,1.41],[292,229,1.426]],[[348,26,0]]]}"
62,2026-02-18 09:26:08.867095,ε,"{""letter"":""ε"",""timestamp"":""2026-02-18T09:26:08.702Z"",""num_strokes"":2,""strokes"":[[[336.66666666666663,81,0],[329,80,0.062],[320.3333333333333,88.66666666666663,0.078],[307.66666666666663,104,0.093],[291.66666666666663,126,0.11],[273.66666666666663,151.66666666666663,0.126],[256.66666666666663,178,0.143],[243,202.66666666666663,0.161],[233.33333333333331,224,0.177],[228.33333333333331,242.66666666666663,0.193],[227.66666666666666,258.66666666666663,0.21],[229,270,0.226],[238.33333333333331,278,0.243],[253,284.33333333333326,0.262],[272.3333333333333,288,0.28],[293.66666666666663,289.33333333333326,0.293],[314.66666666666663,289.33333333333326,0.312],[333.3333333333333,287.33333333333326,0.326],[350,280.66666666666663,0.343],[363,271.33333333333326,0.362],[371,259.66666666666663,0.379],[372.3333333333333,253,0.393]],[[250.66666666666666,205.66666666666663,0],[254.66666666666666,205,0.044],[263,205,0.063],[265.66666666666663,205,0.078],[274.3333333333333,205,0.08],[288,205,0.095],[302,205,0.111],[315.66666666666663,204.66666666666663,0.128],[328,204,0.145],[333.3333333333333,203.33333333333326,0.163]]]}"
93,2026-02-18 09:29:48.983556,ε,"{""letter"":""ε"",""timestamp"":""2026-02-18T09:29:48.576Z"",""num_strokes"":1,""strokes"":[[[298.0840377807617,182.22674560546875,0],[298.2965316772461,182.22674560546875,0.016],[298.4027786254883,182.22674560546875,0.033],[298.6152877807617,182.43923950195312,0.049],[298.7215347290039,182.66006469726562,0.057],[298.7215347290039,182.97048950195312,0.065],[298.7215347290039,183.1829833984375,0.074],[298.60799407958984,183.39553833007812,0.082],[298.5048599243164,183.50173950195312,0.091],[298.1305618286133,183.50173950195312,0.099],[297.71215057373047,183.50173950195312,0.107],[297.21944427490234,183.39028930664062,0.115],[296.4697952270508,183.17257690429688,0.124],[295.58020782470703,182.85659790039062,0.132],[294.46495819091797,182.59515380859375,0.14],[293.52014923095703,182.33578491210938,0.148],[292.1198196411133,182.00729370117188,0.157],[290.7003707885742,181.80178833007812,0.166],[289.02014923095703,181.63369750976562,0.174],[287.3232650756836,181.5892333984375,0.182],[285.8916702270508,181.5892333984375,0.19],[284.4138870239258,181.71145629882812,0.199],[283.19202423095703,181.92050170898438,0.208],[281.80069732666016,182.13507080078125,0.215],[280.50174713134766,182.43923950195312,0.224],[279.4982681274414,182.75799560546875,0.232],[278.30208587646484,183.09097290039062,0.241],[277.67430877685547,183.40765380859375,0.249],[277.20833587646484,183.82015991210938,0.257],[277.04895782470703,184.37673950195312,0.265],[277.04895782470703,185.272216796875,0.275],[277.04895782470703,186.12222290039062,0.282],[277.1552200317383,187.245849609375,0.29],[277.1552200317383,188.54791259765625,0.298],[277.26146697998047,189.8951416015625,0.307],[277.26146697998047,191.09756469726562,0.315],[277.26146697998047,192.22952270507812,0.323],[277.26146697998047,192.821533203125,0.332],[277.26146697998047,193.40036010742188,0.34],[277.36771392822266,193.5941162109375,0.349],[277.9722213745117,193.70034790039062,0.357],[279.1993179321289,194.03616333007812,0.365],[280.6611099243164,194.33786010742188,0.373],[282.52014923095703,194.55035400390625,0.382],[284.2732620239258,194.86911010742188,0.39],[285.70731353759766,195.08160400390625,0.398],[287.1416702270508,195.08160400390625,0.407],[288.0138931274414,195.1878662109375,0.415],[288.58785247802734,195.1878662109375,0.424],[289.0121536254883,195.1878662109375,0.431],[289.33924102783203,195.08160400390625,0.44],[289.55106353759766,195.01876831054688,0.448],[289.7444534301758,194.9222412109375,0.457],[289.7444534301758,195.0916748046875,0.473],[289.7444534301758,195.34722900390625,0.482],[289.7444534301758,195.4534912109375,0.49],[288.86389923095703,195.84548950195312,0.498],[287.83194732666016,196.03750610351562,0.507],[286.6635513305664,196.46249389648438,0.515],[285.94271087646484,196.96145629882812,0.523],[285.12291717529297,197.52499389648438,0.532],[284.1670150756836,198.16250610351562,0.54],[283.4763870239258,199.17153930664062,0.549],[282.82083892822266,200.07015991210938,0.557],[282.2732620239258,200.90591430664062,0.565],[281.6357650756836,201.75555419921875,0.573],[281.0079879760742,202.60873413085938,0.583],[280.57396697998047,203.51181030273438,0.59],[279.98958587646484,204.55938720703125,0.599],[279.47083282470703,205.42987060546875,0.607],[279.0673599243164,206.448974609375,0.615],[278.8954849243164,207.7725830078125,0.623],[278.6954879760742,208.78616333007812,0.631],[278.5361099243164,209.92568969726562,0.64],[278.5361099243164,211.01702880859375,0.648],[278.7486343383789,212.13265991210938,0.657],[279.19063568115234,213.26251220703125,0.665],[279.74097442626953,214.36563110351562,0.673],[280.6611099243164,215.3729248046875,0.682],[281.45764923095703,216.27606201171875,0.689],[282.7802200317383,217.05313110351562,0.698],[284.2732620239258,217.81631469726562,0.706],[286.24930572509766,218.70526123046875,0.714],[288.4274368286133,219.54550170898438,0.723],[290.93924713134766,220.17779541015625,0.731],[293.33020782470703,220.5784912109375,0.739],[295.4982681274414,220.56494140625,0.748],[296.7559127807617,220.365966796875,0.754]]]}"
109,2026-02-18 09:31:12.131345,ε,"{""letter"":""ε"",""timestamp"":""2026-02-18T09:31:12.001Z"",""num_strokes"":1,""strokes"":[[[328.3333333333333,183,0],[319.3333333333333,181,0.079],[312.3333333333333,181,0.095],[306,181,0.112],[300,181,0.128],[293.3333333333333,181.66666666666663,0.145],[291.3333333333333,186.33333333333326,0.161],[291,193,0.178],[291,200.66666666666663,0.194],[291,207,0.211],[294,211.33333333333326,0.228],[300.66666666666663,213.33333333333326,0.244],[309.3333333333333,213.33333333333326,0.261],[316.66666666666663,213.33333333333326,0.278],[321.3333333333333,213.33333333333326,0.294],[324.3333333333333,213.33333333333326,0.311],[326.66666666666663,213.33333333333326,0.328],[328,213.33333333333326,0.344],[328.66666666666663,213.33333333333326,0.361],[327,213.33333333333326,0.412],[321.3333333333333,213.33333333333326,0.429],[314.66666666666663,213.33333333333326,0.445],[306.66666666666663,213.66666666666663,0.462],[300.3333333333333,216,0.479],[295.66666666666663,220.66666666666663,0.495],[293,226.66666666666663,0.511],[291.66666666666663,234,0.528],[291.3333333333333,241.66666666666663,0.544],[291.3333333333333,249.33333333333326,0.561],[293.66666666666663,255,0.578],[299,258,0.595],[307.3333333333333,258.33333333333326,0.611],[317.66666666666663,257.66666666666663,0.628],[329.66666666666663,252,0.644],[340,246,0.661],[345.3333333333333,241.66666666666663,0.678]]]}"
115,2026-02-18 09:31:24.164189,ε,"{""letter"":""ε"",""timestamp"":""2026-02-18T09:31:23.757Z"",""num_strokes"":1,""strokes"":[[[301.8024368286133,176.20347595214844,0],[301.8024368286133,176.20347595214844,0.004],[301.64305877685547,176.20347595214844,0.011],[301.4899368286133,176.20347595214844,0.02],[301.32987213134766,176.20347595214844,0.028],[301.12223052978516,176.20347595214844,0.036],[300.6336898803711,176.0975799560547,0.045],[300.0190963745117,175.83924865722656,0.053],[299.3777847290039,175.6256866455078,0.061],[298.68334197998047,175.41184997558594,0.07],[297.8465347290039,175.4069366455078,0.079],[296.87952423095703,175.4069366455078,0.089],[296.09305572509766,175.6055450439453,0.094],[295.39376068115234,175.9253387451172,0.103],[294.6968765258789,176.2486114501953,0.111],[294.0698013305664,176.56040954589844,0.12],[293.5687484741211,176.8940887451172,0.128],[292.98473358154297,177.3722686767578,0.137],[292.4781265258789,178.1322784423828,0.145],[292.04236602783203,178.99827575683594,0.154],[291.77083587646484,179.84547424316406,0.161],[291.4972457885742,180.5593719482422,0.17],[291.1861343383789,181.2798614501953,0.178],[291.07222747802734,181.8666534423828,0.187],[291.07222747802734,182.38853454589844,0.196],[291.16458892822266,182.92881774902344,0.203],[291.53543853759766,183.5190887451172,0.211],[292.29410552978516,184.15208435058594,0.22],[292.9104232788086,184.6354217529297,0.229],[293.54688262939453,185.1128387451172,0.237],[294.1531295776367,185.44618225097656,0.245],[295.0277786254883,185.85243225097656,0.253],[295.4677200317383,186.0701446533203,0.262],[295.6798629760742,186.2823028564453,0.27],[295.90625762939453,186.49449157714844,0.278],[296.0125045776367,186.72117614746094,0.286],[296.0125045776367,187.03993225097656,0.295],[296.0125045776367,187.3586883544922,0.303],[296.1187515258789,187.66184997558594,0.311],[296.1187515258789,187.9844207763672,0.32],[296.1187515258789,188.41075134277344,0.328],[296.06563568115234,188.79270935058594,0.336],[295.7690963745117,189.35487365722656,0.345],[295.2340316772461,189.8430633544922,0.353],[294.73751068115234,190.17396545410156,0.361],[293.9729232788086,190.73680114746094,0.369],[293.2156295776367,191.2239532470703,0.378],[292.66597747802734,191.71424865722656,0.386],[291.8854446411133,192.48680114746094,0.394],[291.56180572509766,193.6152801513672,0.403],[291.39098358154297,194.68922424316406,0.411],[291.33785247802734,195.37950134277344,0.419],[291.33785247802734,196.6420135498047,0.427],[291.33785247802734,197.54722595214844,0.436],[291.44409942626953,198.24790954589844,0.444],[291.5503463745117,199.09791564941406,0.453],[291.5503463745117,199.9479217529297,0.461],[291.65660858154297,200.72813415527344,0.469],[291.7628707885742,201.15907287597656,0.478],[291.9632034301758,201.38194274902344,0.486],[292.43334197998047,201.5944366455078,0.495],[293.06111907958984,201.89344787597656,0.503],[294.2135696411133,202.3267364501953,0.512],[295.47083282470703,202.7489471435547,0.52],[296.76322174072266,203.07151794433594,0.528],[297.9448013305664,203.18785095214844,0.537],[298.76631927490234,203.18785095214844,0.544],[299.61319732666016,202.61875915527344,0.552],[300.2086868286133,201.3288116455078,0.561]]]}"
137,2026-02-18 10:00:10.333713,ε,"{""letter"":""ε"",""timestamp"":""2026-02-18T10:00:10.415Z"",""num_strokes"":1,""strokes"":[[[367.0305404663086,173.602294921875,0],[358.1857376098633,159.0589599609375,0.09],[348.2706069946289,152.99752807617188,0.106],[333.8849563598633,150.12008666992188,0.123],[323.1271438598633,150.44781494140625,0.139],[311.64134979248047,153.60513305664062,0.156],[301.8107376098633,158.7269287109375,0.173],[293.37572479248047,164.81072998046875,0.19],[288.23511505126953,171.36044311523438,0.207],[286.37784576416016,178.5550537109375,0.223],[287.4346694946289,183.23971557617188,0.24],[292.5902328491211,189.78445434570312,0.257],[298.64632415771484,194.62857055664062,0.274],[306.57422637939453,198.94497680664062,0.291],[315.40023040771484,201.37115478515625,0.307],[323.71273040771484,202.68112182617188,0.324],[329.7901382446289,202.68112182617188,0.341],[333.9605941772461,201.95632934570312,0.357],[337.31783294677734,200.01959228515625,0.374],[338.71273040771484,197.89743041992188,0.391],[339.32564544677734,194.85943603515625,0.408],[337.93750762939453,190.758544921875,0.424],[334.1683578491211,185.98260498046875,0.441],[330.0113754272461,182.70809936523438,0.457],[325.2755813598633,181.02243041992188,0.474],[320.91976165771484,180.871826171875,0.491],[314.28446197509766,182.60476684570312,0.508],[306.23119354248047,186.54086303710938,0.524],[297.93680572509766,191.45455932617188,0.541],[288.8135757446289,198.367919921875,0.558],[282.71309661865234,204.60943603515625,0.574],[278.84200286865234,211.85122680664062,0.591],[277.5298385620117,218.72195434570312,0.608],[277.2954635620117,222.58416748046875,0.624],[277.4996566772461,228.25961303710938,0.641],[278.1939010620117,233.82565307617188,0.658],[279.92969512939453,239.30258178710938,0.675],[285.58594512939453,245.20455932617188,0.692],[296.0191879272461,250.73934936523438,0.709],[310.1235885620117,254.41836547851562,0.724],[325.57955169677734,255.74966430664062,0.742],[342.55931854248047,254.81924438476562,0.759],[356.24149322509766,252.98721313476562,0.775],[368.21236419677734,251.56039428710938,0.792],[369.9367904663086,251.38815307617188,0.797]]]}"
