id,created_at,char,char_data
7,2026-02-17 21:39:32.873995,η,"{""letter"":""η"",""timestamp"":""2026-02-17T21:39:33.679Z"",""num_strokes"":2,""strokes"":[[[293.1999816894531,225.39999389648438,0],[292.1999816894531,225.39999389648438,0.004],[291.1999816894531,225.39999389648438,0.021],[290.1999816894531,225.39999389648438,0.035],[288.1999816894531,226.39999389648438,0.052],[285.1999816894531,228.39999389648438,0.069],[282.1999816894531,230.39999389648438,0.085],[280.1999816894531,233.39999389648438,0.102],[279.1999816894531,235.39999389648438,0.119],[278.1999816894531,239.39999389648438,0.135],[278.1999816894531,247.39999389648438,0.152],[278.1999816894531,256.3999938964844,0.169],[279.1999816894531,265.3999938964844,0.185],[281.1999816894531,273.3999938964844,0.202],[282.1999816894531,281.3999938964844,0.219],[285.1999816894531,289.3999938964844,0.235],[288.1999816894531,296.3999938964844,0.252],[291.1999816894531,299.3999938964844,0.269],[293.1999816894531,301.3999938964844,0.285],[297.1999816894531,303.3999938964844,0.302],[301.1999816894531,303.3999938964844,0.319],[305.1999816894531,303.3999938964844,0.335],[309.1999816894531,305.3999938964844,0.352],[313.1999816894531,305.3999938964844,0.369],[317.1999816894531,305.3999938964844,0.385],[323.1999816894531,305.3999938964844,0.402],[329.1999816894531,305.3999938964844,0.419],[333.1999816894531,304.3999938964844,0.435],[338.1999816894531,301.3999938964844,0.452],[342.1999816894531,297.3999938964844,0.469],[347.1999816894531,293.3999938964844,0.485],[351.1999816894531,290.3999938964844,0.502],[355.1999816894531,288.3999938964844,0.519],[358.1999816894531,285.3999938964844,0.535],[361.1999816894531,281.3999938964844,0.552],[364.1999816894531,277.3999938964844,0.569],[366.1999816894531,272.3999938964844,0.585],[367.1999816894531,266.3999938964844,0.602],[368.1999816894531,260.3999938964844,0.619],[368.1999816894531,254.39999389648438,0.636],[366.1999816894531,250.39999389648438,0.652],[364.1999816894531,248.39999389648438,0.669],[361.1999816894531,245.39999389648438,0.685],[357.1999816894531,244.39999389648438,0.702],[353.1999816894531,241.39999389648438,0.719],[350.1999816894531,238.39999389648438,0.735],[347.1999816894531,237.39999389648438,0.752],[344.1999816894531,234.39999389648438,0.769],[340.1999816894531,233.39999389648438,0.785],[336.1999816894531,230.39999389648438,0.802],[333.1999816894531,229.39999389648438,0.819],[329.1999816894531,227.39999389648438,0.835],[327.1999816894531,225.39999389648438,0.852],[325.1999816894531,225.39999389648438,0.869],[323.1999816894531,224.39999389648438,0.885],[321.1999816894531,223.39999389648438,0.902],[318.1999816894531,222.39999389648438,0.919],[316.1999816894531,221.39999389648438,0.935],[313.1999816894531,221.39999389648438,0.952],[310.1999816894531,221.39999389648438,0.969],[309.1999816894531,221.39999389648438,0.985],[308.1999816894531,221.39999389648438,1.002],[307.1999816894531,221.39999389648438,1.019],[305.1999816894531,221.39999389648438,1.036],[305.1999816894531,221.39999389648438,1.052],[302.1999816894531,221.39999389648438,1.069],[301.1999816894531,221.39999389648438,1.085],[298.1999816894531,221.39999389648438,1.102],[296.1999816894531,221.39999389648438,1.119],[294.1999816894531,221.39999389648438,1.135]],[[374.1999816894531,227.39999389648438,0],[373.1999816894531,227.39999389648438,0.029],[373.1999816894531,228.39999389648438,0.036],[373.1999816894531,229.39999389648438,0.052],[371.1999816894531,232.39999389648438,0.069],[370.1999816894531,234.39999389648438,0.086],[370.1999816894531,238.39999389648438,0.102],[370.1999816894531,242.39999389648438,0.119],[370.1999816894531,248.39999389648438,0.136],[372.1999816894531,256.3999938964844,0.152],[372.1999816894531,265.3999938964844,0.169],[373.1999816894531,273.3999938964844,0.186],[373.1999816894531,280.3999938964844,0.202],[373.1999816894531,285.3999938964844,0.219],[377.1999816894531,292.3999938964844,0.236],[381.1999816894531,297.3999938964844,0.252],[385.1999816894531,301.3999938964844,0.269],[390.1999816894531,305.3999938964844,0.286],[397.1999816894531,307.3999938964844,0.302],[404.1999816894531,311.3999938964844,0.319],[411.1999816894531,314.3999938964844,0.336],[418.1999816894531,317.3999938964844,0.352],[421.1999816894531,317.3999938964844,0.369],[423.1999816894531,317.3999938964844,0.386],[425.1999816894531,317.3999938964844,0.402],[425.1999816894531,317.3999938964844,0.42],[426.1999816894531,317.3999938964844,0.476],[426.1999816894531,316.3999938964844,0.486]]]}"
21,2026-02-17 21:40:41.803582,η,"{""letter"":""η"",""timestamp"":""2026-02-17T21:40:42.631Z"",""num_strokes"":1,""strokes"":[[[220.19998168945312,220.39999389648438,0],[220.19998168945312,227.39999389648438,0.041],[220.19998168945312,234.39999389648438,0.058],[220.19998168945312,246.39999389648438,0.075],[220.19998168945312,259.3999938964844,0.091],[220.19998168945312,268.3999938964844,0.108],[220.19998168945312,273.3999938964844,0.125],[220.19998168945312,277.3999938964844,0.141],[220.19998168945312,281.3999938964844,0.158],[221.19998168945312,281.3999938964844,0.175],[221.19998168945312,281.3999938964844,0.191],[224.19998168945312,275.3999938964844,0.241],[228.19998168945312,263.3999938964844,0.258],[231.19998168945312,249.39999389648438,0.275],[234.19998168945312,238.39999389648438,0.291],[240.19998168945312,229.39999389648438,0.308],[243.19998168945312,225.39999389648438,0.325],[247.19998168945312,225.39999389648438,0.341],[254.19998168945312,225.39999389648438,0.358],[265.1999816894531,229.39999389648438,0.375],[276.1999816894531,234.39999389648438,0.391],[283.1999816894531,240.39999389648438,0.408],[290.1999816894531,253.39999389648438,0.425],[296.1999816894531,269.3999938964844,0.441],[298.1999816894531,287.3999938964844,0.458],[300.1999816894531,303.3999938964844,0.475],[299.1999816894531,314.3999938964844,0.491],[297.1999816894531,323.3999938964844,0.508],[297.1999816894531,334.3999938964844,0.524],[296.1999816894531,343.3999938964844,0.541],[296.1999816894531,347.3999938964844,0.558],[296.1999816894531,349.3999938964844,0.575],[296.1999816894531,351.3999938964844,0.591],[297.1999816894531,357.3999938964844,0.608],[297.1999816894531,359.3999938964844,0.625],[298.1999816894531,359.3999938964844,0.649],[299.1999816894531,357.3999938964844,0.658],[302.1999816894531,349.3999938964844,0.675],[303.1999816894531,348.3999938964844,0.678]]]}"
49,2026-02-18 09:16:27.372173,η,"{""letter"":""η"",""timestamp"":""2026-02-18T09:16:27.281Z"",""num_strokes"":1,""strokes"":[[[227,141,0],[228,151,0.039],[228,155,0.056],[228,164,0.073],[227,170,0.09],[226,176,0.107],[226,183,0.123],[225,189,0.14],[225,195,0.157],[225,200,0.174],[225,205,0.19],[225,208,0.206],[225,211,0.223],[225,212,0.24],[225,211,0.307],[226,208,0.324],[228,204,0.341],[230,197,0.357],[233,188,0.374],[235,179,0.391],[238,172,0.407],[240,167,0.424],[242,162,0.441],[244,158,0.458],[246,155,0.474],[249,153,0.491],[252,152,0.507],[255,151,0.524],[259,151,0.54],[262,151,0.557],[266,219,0.574],[272,223,0.589],[277,228,0.606],[283,233,0.623],[288,240,0.64],[291,247,0.657],[294,254,0.674],[296,263,0.691],[298,271,0.707],[299,277,0.724],[300,281,0.74],[300,283,0.756],[300,284,0.773],[300,285,0.79],[301,288,0.806],[301,293,0.823],[302,298,0.84],[302,302,0.857],[302,303,0.874]]]}"
289,2026-02-18 13:16:56.5716,η,"{""letter"":""η"",""timestamp"":""2026-02-18T13:16:57.329Z"",""num_strokes"":2,""strokes"":[[[251.41741943359375,161.1219482421875,0],[250.41741943359375,165.1219482421875,0.053],[249.41741943359375,168.1219482421875,0.069],[249.41741943359375,173.1219482421875,0.086],[249.41741943359375,181.1219482421875,0.103],[249.41741943359375,186.1219482421875,0.119],[249.41741943359375,190.1219482421875,0.136],[249.41741943359375,194.1219482421875,0.153],[249.41741943359375,199.1219482421875,0.17],[249.41741943359375,205.1219482421875,0.186],[249.41741943359375,212.1219482421875,0.203],[249.41741943359375,218.1219482421875,0.22],[249.41741943359375,222.1219482421875,0.236],[249.41741943359375,225.1219482421875,0.253],[249.41741943359375,228.1219482421875,0.27],[249.41741943359375,230.1219482421875,0.287],[249.41741943359375,233.1219482421875,0.303],[250.41741943359375,235.1219482421875,0.32],[250.41741943359375,237.1219482421875,0.337],[250.41741943359375,239.1219482421875,0.353],[250.41741943359375,241.1219482421875,0.37],[251.41741943359375,242.1219482421875,0.387],[251.41741943359375,243.1219482421875,0.403],[251.41741943359375,244.1219482421875,0.42]],[[249.41741943359375,203.1219482421875,0],[250.41741943359375,202.1219482421875,0.117],[252.41741943359375,199.1219482421875,0.124],[257.41741943359375,191.1219482421875,0.14],[263.41741943359375,184.1219482421875,0.157],[269.41741943359375,179.1219482421875,0.174],[270.41741943359375,177.1219482421875,0.19],[271.41741943359375,176.1219482421875,0.207],[271.41741943359375,177.1219482421875,0.316],[272.41741943359375,179.1219482421875,0.324],[273.41741943359375,182.1219482421875,0.341],[274.41741943359375,186.1219482421875,0.357],[277.41741943359375,190.1219482421875,0.374],[279.41741943359375,194.1219482421875,0.391],[281.41741943359375,199.1219482421875,0.407],[281.41741943359375,203.1219482421875,0.424],[282.41741943359375,207.1219482421875,0.441],[282.41741943359375,210.1219482421875,0.457],[282.41741943359375,215.1219482421875,0.474],[282.41741943359375,219.1219482421875,0.491],[282.41741943359375,222.1219482421875,0.507],[283.41741943359375,226.1219482421875,0.524],[283.41741943359375,226.1219482421875,0.541],[283.41741943359375,228.1219482421875,0.557],[283.41741943359375,231.1219482421875,0.574],[283.41741943359375,232.1219482421875,0.591],[283.41741943359375,234.1219482421875,0.608],[283.41741943359375,235.1219482421875,0.628],[283.41741943359375,236.1219482421875,0.644],[283.41741943359375,237.1219482421875,0.668],[283.41741943359375,238.1219482421875,0.675],[284.41741943359375,239.1219482421875,0.7],[285.41741943359375,240.1219482421875,0.828]]]}"
303,2026-02-18 13:18:12.014225,η,"{""letter"":""η"",""timestamp"":""2026-02-18T13:18:12.785Z"",""num_strokes"":3,""strokes"":[[[258.41741943359375,180.98965454101562,0],[257.41741943359375,180.98965454101562,0.03],[257.41741943359375,181.98965454101562,0.04],[257.41741943359375,182.98965454101562,0.052],[255.41741943359375,186.98965454101562,0.069],[255.41741943359375,191.98965454101562,0.086],[250.41741943359375,209.98965454101562,0.103],[248.41741943359375,223.98965454101562,0.119],[246.41741943359375,237.98965454101562,0.135],[245.41741943359375,249.98965454101562,0.152],[244.41741943359375,262.9896545410156,0.169],[241.41741943359375,279.9896545410156,0.185],[241.41741943359375,280.9896545410156,0.202],[241.41741943359375,281.9896545410156,0.252],[244.41741943359375,280.9896545410156,0.269],[251.41741943359375,277.9896545410156,0.278]],[[246.41741943359375,225.98965454101562,0],[247.41741943359375,225.98965454101562,0.019],[248.41741943359375,225.98965454101562,0.036],[249.41741943359375,225.98965454101562,0.053],[250.41741943359375,225.98965454101562,0.103]],[[250.41741943359375,225.98965454101562,0],[251.41741943359375,225.98965454101562,0.042],[251.41741943359375,224.98965454101562,0.066],[253.41741943359375,223.98965454101562,0.083],[255.41741943359375,222.98965454101562,0.1],[257.41741943359375,220.98965454101562,0.116],[260.41741943359375,218.98965454101562,0.133],[262.41741943359375,215.98965454101562,0.149],[266.41741943359375,212.98965454101562,0.166],[269.41741943359375,209.98965454101562,0.183],[270.41741943359375,208.98965454101562,0.2],[271.41741943359375,207.98965454101562,0.216],[272.41741943359375,207.98965454101562,0.233],[275.41741943359375,207.98965454101562,0.251],[278.41741943359375,207.98965454101562,0.267],[280.41741943359375,207.98965454101562,0.283],[281.41741943359375,207.98965454101562,0.3],[283.41741943359375,208.98965454101562,0.317],[285.41741943359375,209.98965454101562,0.333],[286.41741943359375,210.98965454101562,0.35],[287.41741943359375,211.98965454101562,0.367],[288.41741943359375,214.98965454101562,0.384],[290.41741943359375,217.98965454101562,0.4],[291.41741943359375,221.98965454101562,0.417],[291.41741943359375,224.98965454101562,0.434],[292.41741943359375,229.98965454101562,0.45],[292.41741943359375,233.98965454101562,0.467],[292.41741943359375,237.98965454101562,0.483],[292.41741943359375,239.98965454101562,0.5],[292.41741943359375,243.98965454101562,0.517],[292.41741943359375,247.98965454101562,0.533],[291.41741943359375,251.98965454101562,0.55],[291.41741943359375,255.98965454101562,0.567],[291.41741943359375,257.9896545410156,0.583],[291.41741943359375,258.9896545410156,0.6],[291.41741943359375,259.9896545410156,0.617],[291.41741943359375,260.9896545410156,0.633],[292.41741943359375,262.9896545410156,0.65],[293.41741943359375,264.9896545410156,0.667],[294.41741943359375,265.9896545410156,0.683],[295.41741943359375,266.9896545410156,0.7],[297.41741943359375,266.9896545410156,0.717],[299.41741943359375,266.9896545410156,0.733],[301.41741943359375,263.9896545410156,0.75],[302.41741943359375,261.9896545410156,0.754]]]}"
64,2026-02-18 09:26:17.427603,η,"{""letter"":""η"",""timestamp"":""2026-02-18T09:26:17.261Z"",""num_strokes"":1,""strokes"":[[[244.33333333333331,168,0],[243.66666666666666,173.33333333333326,0.027],[243.66666666666666,179,0.043],[243.66666666666666,186,0.06],[245,196,0.077],[247.33333333333331,210.33333333333326,0.093],[250.66666666666666,227,0.11],[253,244,0.127],[254.33333333333331,259.33333333333326,0.143],[255.33333333333331,272.66666666666663,0.16],[256,283,0.177],[256.3333333333333,289.66666666666663,0.193],[257.3333333333333,293,0.21],[258,294.66666666666663,0.227],[258.3333333333333,295,0.243],[258.3333333333333,293.66666666666663,0.344],[258.3333333333333,289,0.361],[258.3333333333333,280.66666666666663,0.378],[260.66666666666663,268,0.394],[265.3333333333333,253.66666666666663,0.411],[269.3333333333333,242.33333333333326,0.428],[274,234,0.444],[277.66666666666663,227.66666666666663,0.461],[281.66666666666663,222.33333333333326,0.478],[286.3333333333333,218.33333333333326,0.495],[293.3333333333333,213.33333333333326,0.511],[303.66666666666663,207.33333333333326,0.527],[315,203.66666666666663,0.544],[326.3333333333333,203.33333333333326,0.561],[340.3333333333333,209.33333333333326,0.577],[354,221.66666666666663,0.594],[363.66666666666663,236.33333333333326,0.611],[371.66666666666663,252,0.628],[377.66666666666663,266,0.644],[385,277,0.661],[394,286.66666666666663,0.678],[402.66666666666663,294,0.694],[410,301.66666666666663,0.711],[415,309,0.728],[416.3333333333333,315,0.744],[416.3333333333333,319.33333333333326,0.761],[416.3333333333333,321.66666666666663,0.778]]]}"
78,2026-02-18 09:26:58.995935,η,"{""letter"":""η"",""timestamp"":""2026-02-18T09:26:58.809Z"",""num_strokes"":1,""strokes"":[[[265.3333333333333,113.16666666666663,0],[260,121.5,0.063],[260,130.83333333333331,0.077],[260,143.83333333333331,0.094],[261.66666666666663,158.16666666666663,0.11],[264.3333333333333,173.16666666666663,0.127],[267.66666666666663,186.5,0.143],[270.66666666666663,198.16666666666663,0.161],[274,206.16666666666663,0.177],[276.3333333333333,209.83333333333331,0.193],[278,210.16666666666663,0.21],[279.3333333333333,210.16666666666663,0.227],[280.66666666666663,208.5,0.243],[284.66666666666663,199.5,0.26],[291.66666666666663,186.5,0.277],[300.66666666666663,172.83333333333331,0.293],[310.3333333333333,159.5,0.31],[317.3333333333333,150.83333333333331,0.327],[322,146.83333333333331,0.343],[325.3333333333333,146.5,0.36],[330,146.5,0.377],[337.3333333333333,151.83333333333331,0.394],[345.66666666666663,165.5,0.41],[352.3333333333333,182.5,0.427],[357,200.16666666666663,0.444],[362,215.5,0.46],[368,227.5,0.477],[374.66666666666663,235.16666666666663,0.494],[382.3333333333333,238.5,0.51],[386.66666666666663,238.5,0.527]]]}"
95,2026-02-18 09:30:06.38162,η,"{""letter"":""η"",""timestamp"":""2026-02-18T09:30:05.875Z"",""num_strokes"":1,""strokes"":[[[248.15242767333984,199.649658203125,0],[248.09618377685547,199.649658203125,0.004],[247.88472747802734,199.649658203125,0.011],[247.83368682861328,199.649658203125,0.02],[247.78055572509766,199.649658203125,0.053],[247.78055572509766,199.75592041015625,0.062],[247.78055572509766,199.32186889648438,0.104],[247.78055572509766,198.79965209960938,0.112],[247.9930648803711,198.14999389648438,0.12],[248.09931182861328,197.18685913085938,0.128],[248.31180572509766,196.46249389648438,0.137],[248.64131927490234,195.7503662109375,0.145],[248.8531265258789,195.06631469726562,0.153],[249.16146087646484,194.26528930664062,0.162],[249.48784637451172,193.4197998046875,0.17],[249.90522003173828,192.37258911132812,0.178],[250.34166717529297,191.43853759765625,0.187],[250.96772003173828,190.24758911132812,0.195],[251.60486602783203,189.07916259765625,0.203],[252.89722442626953,187.80487060546875,0.211],[254.26111602783203,186.63543701171875,0.22],[256.28543853759766,185.40069580078125,0.228],[258.20035552978516,184.6986083984375,0.236],[260.55139923095703,184.01910400390625,0.244],[262.9194564819336,183.71389770507812,0.254],[265.46910858154297,183.6607666015625,0.262],[267.4843978881836,184.41561889648438,0.269],[269.5059127807617,185.62640380859375,0.278],[271.1305618286133,187.28854370117188,0.286],[272.70731353759766,189.30557250976562,0.296],[274.13611602783203,191.43194580078125,0.303],[275.47847747802734,193.46633911132812,0.312],[276.32222747802734,195.3975830078125,0.321],[277.1656265258789,197.30105590820312,0.328],[277.70104217529297,199.23785400390625,0.336],[278.12569427490234,201.102783203125,0.344],[278.60416412353516,203.11529541015625,0.353],[278.90799713134766,205.14617919921875,0.361],[279.12049102783203,207.28060913085938,0.37],[279.34549713134766,209.3795166015625,0.378],[279.65174102783203,211.4375,0.386],[279.5371627807617,212.79168701171875,0.395],[279.2798843383789,213.88543701171875,0.403],[279.0142593383789,214.46978759765625,0.411],[278.89965057373047,214.5760498046875,0.42],[278.7486343383789,214.5760498046875,0.428],[278.64237213134766,214.41668701171875,0.436],[278.58924102783203,213.8572998046875,0.445],[278.58924102783203,212.92953491210938,0.454],[278.71215057373047,211.6829833984375,0.461],[279.03368377685547,210.30242919921875,0.469],[279.5062484741211,208.56463623046875,0.478],[280.0236129760742,206.714599609375,0.486],[280.6611099243164,204.69583129882812,0.495],[281.79027557373047,202.60208129882812,0.503],[283.2333450317383,200.70486450195312,0.511],[284.66771697998047,198.890625,0.519],[286.30208587646484,197.149658203125,0.528],[288.20381927490234,195.71875,0.536],[290.94168853759766,194.27639770507812,0.545],[293.43680572509766,193.0826416015625,0.553],[296.0302200317383,192.19515991210938,0.561],[298.52396392822266,191.671875,0.569],[300.84166717529297,191.5225830078125,0.577],[303.0770950317383,191.62881469726562,0.585],[305.8048629760742,192.60348510742188,0.594],[307.6975784301758,193.90139770507812,0.602],[309.6107711791992,195.55938720703125,0.61],[311.09827423095703,197.41876220703125,0.619],[311.9479446411133,199.915283203125,0.627],[312.5322952270508,203.04931640625,0.636],[313.3823013305664,206.87396240234375,0.644],[313.96666717529297,211.60140991210938,0.653],[314.39131927490234,216.43508911132812,0.661],[314.97570037841797,221.32223510742188,0.669],[315.29447174072266,226.102783203125,0.678],[315.8979263305664,231.63888549804688,0.686],[316.25069427490234,237.31076049804688,0.694],[316.35697174072266,243.73818969726562,0.703],[316.9187545776367,250.97222900390625,0.711],[317.41910552978516,257.6556091308594,0.719],[317.86632537841797,264.7750549316406,0.728],[318.16284942626953,270.4038391113281,0.736],[318.3986129760742,276.6673583984375,0.744],[318.8204879760742,282.4691162109375,0.753],[319.11910247802734,286.92401123046875,0.76],[319.3315963745117,290.04931640625,0.769],[319.43785858154297,293.2451477050781,0.778],[319.43785858154297,294.5198059082031,0.782]]]}"
111,2026-02-18 09:31:17.892538,η,"{""letter"":""η"",""timestamp"":""2026-02-18T09:31:17.755Z"",""num_strokes"":1,""strokes"":[[[291.3333333333333,160.66666666666663,0],[292.3333333333333,177.66666666666663,0.044],[292.3333333333333,195,0.078],[293.3333333333333,207,0.094],[294.3333333333333,218,0.111],[294.66666666666663,222.33333333333326,0.128],[294.66666666666663,224.66666666666663,0.144],[295,225,0.16],[295.3333333333333,225,0.177],[296,223,0.194],[297.66666666666663,216,0.21],[300,206.66666666666663,0.227],[302.3333333333333,195,0.244],[304.3333333333333,183.33333333333326,0.26],[306,175,0.276],[307,171,0.293],[308,170,0.31],[309.3333333333333,170,0.327],[311.66666666666663,170,0.344],[315,170,0.36],[319.66666666666663,171.33333333333331,0.377],[324.66666666666663,175.66666666666663,0.394],[329,181.66666666666663,0.41],[333,191.33333333333326,0.427],[335,202.66666666666663,0.443],[335.66666666666663,214,0.46],[335.66666666666663,225.66666666666663,0.477],[335.3333333333333,237.33333333333326,0.494],[334,247.66666666666663,0.511],[333,256.33333333333326,0.527],[333,262.33333333333326,0.543],[333,267,0.56],[333,268.66666666666663,0.577]]]}"
118,2026-02-18 09:31:30.104052,η,"{""letter"":""η"",""timestamp"":""2026-02-18T09:31:29.709Z"",""num_strokes"":1,""strokes"":[[[288.0444564819336,152.6719207763672,0],[288.0444564819336,152.6719207763672,0.005],[288.0444564819336,152.6719207763672,0.014],[288.0444564819336,152.6719207763672,0.022],[288.0444564819336,152.6719207763672,0.039],[288.0444564819336,152.6719207763672,0.048],[288.0444564819336,152.61875915527344,0.056],[288.0444564819336,152.52882385253906,0.065],[288.0444564819336,152.5124969482422,0.073],[288.0444564819336,152.45936584472656,0.081],[288.1507034301758,152.3003387451172,0.098],[288.25695037841797,152.14097595214844,0.106],[288.46944427490234,151.68992614746094,0.114],[288.6819534301758,151.2344207763672,0.122],[289.0836868286133,150.5819549560547,0.13],[289.42569732666016,150.06910705566406,0.139],[289.92606353759766,149.17469787597656,0.148],[290.3555679321289,148.15589904785156,0.156],[290.78055572509766,146.98646545410156,0.164],[291.20764923095703,145.96214294433594,0.172],[291.7774429321289,144.91493225097656,0.181],[292.40868377685547,144.02012634277344,0.189],[293.1440963745117,143.48228454589844,0.198],[294.65625762939453,142.86598205566406,0.206],[296.0527877807617,142.68577575683594,0.214],[297.35034942626953,142.77049255371094,0.222],[298.7333450317383,143.3361053466797,0.23],[299.62430572509766,144.06666564941406,0.239],[300.4743118286133,145.2354278564453,0.247],[301.23368072509766,146.7160186767578,0.256],[301.64305877685547,147.7823028564453,0.264],[302.0406265258789,148.98997497558594,0.272],[302.36319732666016,150.2288055419922,0.28],[302.6059036254883,151.41737365722656,0.289],[303.13021087646484,152.3003387451172,0.297],[303.6871566772461,153.78367614746094,0.306],[304.2090377807617,154.65382385253906,0.313],[304.69063568115234,155.25282287597656,0.322],[305.09583282470703,155.48719787597656,0.33],[305.4920120239258,155.48719787597656,0.338],[305.73299407958984,155.04478454589844,0.347],[306.02745819091797,153.8444366455078,0.355],[306.26424407958984,152.7781219482422,0.363],[306.4767379760742,150.58299255371094,0.373],[306.68924713134766,148.85694885253906,0.381],[307.14063262939453,147.3604278564453,0.388],[307.7170181274414,145.86598205566406,0.397],[308.51424407958984,144.5260467529297,0.405],[309.0263900756836,143.80104064941406,0.414],[310.06493377685547,142.8809051513672,0.422],[310.95520782470703,142.2850799560547,0.431],[311.57604217529297,141.88890075683594,0.439],[312.8295211791992,141.58094787597656,0.446],[313.99723052978516,141.46388244628906,0.455],[314.76322174072266,141.46388244628906,0.464],[315.9923629760742,142.00242614746094,0.472],[317.65833282470703,143.56214904785156,0.482],[318.5347213745117,145.07603454589844,0.489],[320.23438262939453,148.52882385253906,0.496],[322.3062515258789,156.60276794433594,0.514],[322.97396087646484,162.25901794433594,0.522],[323.1031265258789,166.94410705566406,0.53],[323.2090377807617,171.59132385253906,0.538],[323.3152847290039,173.9725799560547,0.544]]]}"
