id,created_at,char,char_data
9,2026-02-17 21:39:47.222709,ω,"{""letter"":""ω"",""timestamp"":""2026-02-17T21:39:48.030Z"",""num_strokes"":1,""strokes"":[[[230.19998168945312,241.39999389648438,0],[231.19998168945312,241.39999389648438,0.051],[232.19998168945312,245.39999389648438,0.062],[235.19998168945312,252.39999389648438,0.078],[237.19998168945312,261.3999938964844,0.095],[241.19998168945312,271.3999938964844,0.112],[245.19998168945312,283.3999938964844,0.128],[250.19998168945312,292.3999938964844,0.145],[254.19998168945312,298.3999938964844,0.162],[258.1999816894531,301.3999938964844,0.178],[262.1999816894531,302.3999938964844,0.195],[268.1999816894531,302.3999938964844,0.212],[274.1999816894531,300.3999938964844,0.228],[282.1999816894531,293.3999938964844,0.245],[291.1999816894531,288.3999938964844,0.262],[299.1999816894531,284.3999938964844,0.278],[306.1999816894531,279.3999938964844,0.295],[312.1999816894531,276.3999938964844,0.312],[315.1999816894531,271.3999938964844,0.328],[316.1999816894531,266.3999938964844,0.345],[316.1999816894531,261.3999938964844,0.362],[313.1999816894531,256.3999938964844,0.378],[309.1999816894531,251.39999389648438,0.395],[308.1999816894531,248.39999389648438,0.412],[308.1999816894531,247.39999389648438,0.428],[307.1999816894531,247.39999389648438,0.446],[309.1999816894531,257.3999938964844,0.495],[312.1999816894531,275.3999938964844,0.512],[316.1999816894531,295.3999938964844,0.528],[320.1999816894531,309.3999938964844,0.545],[323.1999816894531,317.3999938964844,0.562],[330.1999816894531,325.3999938964844,0.578],[335.1999816894531,326.3999938964844,0.595],[340.1999816894531,327.3999938964844,0.612],[346.1999816894531,328.3999938964844,0.628],[356.1999816894531,326.3999938964844,0.645],[367.1999816894531,321.3999938964844,0.662],[379.1999816894531,316.3999938964844,0.678],[389.1999816894531,310.3999938964844,0.695],[397.1999816894531,304.3999938964844,0.712],[404.1999816894531,295.3999938964844,0.728],[408.1999816894531,278.3999938964844,0.745],[409.1999816894531,260.3999938964844,0.762],[408.1999816894531,239.39999389648438,0.778],[406.1999816894531,226.39999389648438,0.795],[403.1999816894531,215.39999389648438,0.812],[401.1999816894531,207.39999389648438,0.828],[399.1999816894531,201.39999389648438,0.845],[398.1999816894531,197.39999389648438,0.862],[398.1999816894531,196.39999389648438,0.878],[397.1999816894531,193.39999389648438,0.895],[396.1999816894531,192.39999389648438,0.912],[396.1999816894531,191.39999389648438,0.928]]]}"
25,2026-02-17 21:48:09.883057,ω,"{""letter"":""ω"",""timestamp"":""2026-02-17T21:48:09.791Z"",""num_strokes"":1,""strokes"":[[[187.27273559570312,221.54550170898438,0],[186.54510498046875,250.35299682617188,0.113],[186.04546356201172,264.0007019042969,0.13],[186.22515106201172,276.9850769042969,0.147],[188.47798919677734,290.44140625,0.163],[193.49610137939453,301.62286376953125,0.18],[200.0369415283203,312.0635681152344,0.197],[207.72727966308594,320.4602355957031,0.213],[217.18111419677734,326.6587219238281,0.23],[228.5042724609375,330.7240905761719,0.246],[240.86507415771484,331.7016906738281,0.264],[252.3487319946289,330.1516418457031,0.282],[263.16869354248047,325.2993469238281,0.297],[273.2340316772461,314.1203918457031,0.313],[281.32991790771484,300.86541748046875,0.33],[287.49112701416016,286.8721618652344,0.347],[290.74825286865234,273.2453918457031,0.363],[291.45455169677734,259.9911193847656,0.38],[291.05896759033203,249.09765625,0.397],[289.6821823120117,240.26278686523438,0.414],[288.61719512939453,233.15768432617188,0.431],[287.56038665771484,228.9808349609375,0.447],[286.70313262939453,227.28729248046875,0.463],[286.16407012939453,226.72726440429688,0.481],[286.0738754272461,226.74432373046875,0.498],[285.63033294677734,227.83132934570312,0.514],[285.5454635620117,231.77130126953125,0.53],[285.82173919677734,238.55645751953125,0.548],[287.32032012939453,247.43429565429688,0.563],[290.15059661865234,261.5596618652344,0.58],[293.91585540771484,274.5284118652344,0.598],[298.43538665771484,288.74188232421875,0.614],[304.16088104248047,302.63848876953125,0.635],[311.93431854248047,315.4300537109375,0.648],[321.6271438598633,324.7716979980469,0.666],[327.20455169677734,328.8409118652344,0.684],[344.15235137939453,334.3696594238281,0.7],[369.50679779052734,328.7549743652344,0.731],[381.70455169677734,319.5266418457031,0.748],[393.1711654663086,308.06640625,0.764],[401.7265853881836,296.2276306152344,0.781],[407.11116790771484,283.4183349609375,0.798],[409.3242416381836,270.5706787109375,0.814],[409.29439544677734,257.1516418457031,0.833],[408.07848358154297,243.99325561523438,0.849],[405.6992416381836,230.92938232421875,0.864],[402.93148040771484,219.97940063476562,0.882],[399.2383041381836,209.3284912109375,0.897],[395.57247161865234,201.33346557617188,0.915],[392.04369354248047,196.30612182617188,0.932],[390.1743698120117,193.99005126953125,0.948],[389.22481536865234,193.13388061523438,0.965],[388.7258529663086,192.95455932617188,0.98],[388.95348358154297,193.18112182617188,1.016],[389.45455169677734,193.59091186523438,1.02]]]}"
27,2026-02-17 21:48:19.831117,ω,"{""letter"":""ω"",""timestamp"":""2026-02-17T21:48:19.750Z"",""num_strokes"":1,""strokes"":[[[228.3636474609375,265.2727355957031,0],[223.56570434570312,285.5657043457031,0.117],[220.54368591308594,295.6342468261719,0.133],[220.27273559570312,303.47052001953125,0.149],[220.30398559570312,312.6448974609375,0.166],[221.73580169677734,320.9723815917969,0.183],[224.60867309570312,327.8757019042969,0.201],[228.6154327392578,334.2780456542969,0.217],[234.0870132446289,339.7386169433594,0.234],[241.25533294677734,343.9687805175781,0.251],[248.91336822509766,347.1292419433594,0.267],[256.39632415771484,348.9880065917969,0.284],[263.80257415771484,349.3182067871094,0.302],[271.04122161865234,348.5124206542969,0.317],[278.23653411865234,345.4201354980469,0.334],[285.79476165771484,340.2045593261719,0.351],[295.2720260620117,330.9754943847656,0.368],[301.49752044677734,321.4372253417969,0.384],[304.4435501098633,313.50958251953125,0.401],[305.43538665771484,306.77130126953125,0.418],[305.45455169677734,300.9311218261719,0.434],[305.45455169677734,295.97869873046875,0.451],[305.07494354248047,291.7603454589844,0.467],[304.19071197509766,288.4921875,0.484],[303.44425201416016,286.87078857421875,0.501],[302.81571197509766,285.8157043457031,0.517],[302.70455169677734,285.7045593261719,0.534],[302.47798919677734,286.47088623046875,0.567],[302.45455169677734,289.8853454589844,0.584],[302.45455169677734,296.13885498046875,0.602],[302.5824203491211,305.34979248046875,0.618],[304.3707504272461,317.8153381347656,0.634],[307.23970794677734,326.8846130371094,0.651],[311.62430572509766,334.9233093261719,0.668],[318.54866790771484,341.7840881347656,0.685],[327.35868072509766,347.2333068847656,0.702],[337.3011703491211,352.0845031738281,0.717],[347.1800765991211,356.2713317871094,0.734],[355.64595794677734,358.8554992675781,0.751],[363.9570541381836,359.3029479980469,0.767],[371.19429779052734,358.1221618652344,0.785],[377.0337448120117,354.8703918457031,0.801],[382.19176483154297,349.4030456542969,0.817],[386.05113983154297,341.5965881347656,0.835],[388.86617279052734,332.1498718261719,0.852],[390.55577850341797,320.9524230957031,0.867],[391.31819915771484,308.4819030761719,0.885],[391.24044036865234,298.71270751953125,0.902],[390.27770233154297,287.8697204589844,0.917],[388.52950286865234,276.83026123046875,0.935],[385.57711029052734,268.4524230957031,0.951],[382.18184661865234,262.1392517089844,0.971],[379.48863983154297,257.9090881347656,0.984],[378.0415573120117,255.93429565429688,1.004],[377.00960540771484,254.65304565429688,1.018],[376.39986419677734,254.07705688476562,1.034],[376.0227279663086,253.72726440429688,1.05],[376.18184661865234,253.68182373046875,1.08]]]}"
31,2026-02-17 21:48:37.828031,ω,"{""letter"":""ω"",""timestamp"":""2026-02-17T21:48:37.592Z"",""num_strokes"":1,""strokes"":[[[226.95455169677734,211.04550170898438,0],[226.24290466308594,245.99969482421875,0.066],[228.18999481201172,266.42755126953125,0.084],[234.83629608154297,284.9538269042969,0.1],[243.7432632446289,299.6626892089844,0.12],[252.7184066772461,308.76171875,0.134],[261.00426483154297,312.00750732421875,0.152],[270.65699005126953,310.8114318847656,0.168],[280.15271759033203,306.0546875,0.184],[289.30684661865234,297.7240905761719,0.2],[297.37039947509766,284.60723876953125,0.216],[302.6573257446289,271.87078857421875,0.233],[305.7130813598633,259.7858581542969,0.25],[307.39632415771484,249.69317626953125,0.267],[307.81819915771484,241.73190307617188,0.283],[307.5298385620117,235.53445434570312,0.3],[306.7588882446289,231.5546875,0.316],[305.86009979248047,229.76669311523438,0.333],[304.99291229248047,228.72158813476562,0.35],[304.59056854248047,228.45455932617188,0.366],[304.40697479248047,228.54757690429688,0.383],[303.77274322509766,230.81640625,0.401],[303.77274322509766,237.74539184570312,0.417],[303.8167953491211,249.74752807617188,0.433],[305.6924819946289,263.9517517089844,0.45],[310.01847076416016,275.9754943847656,0.466],[316.5511703491211,289.7532043457031,0.483],[325.2198257446289,302.6669006347656,0.5],[335.3466262817383,314.0028381347656,0.516],[346.8082504272461,320.6633605957031,0.534],[357.0199203491211,322.2272644042969,0.551],[367.0813217163086,319.3852844238281,0.567],[376.43575286865234,310.33203125,0.582],[385.28160858154297,294.5678405761719,0.6],[393.65914154052734,277.7684631347656,0.617],[400.10836029052734,260.0301818847656,0.633],[403.2915573120117,242.58380126953125,0.65],[403.5617904663086,228.57528686523438,0.666],[402.3313217163086,219.1171875,0.683],[399.4570541381836,211.97018432617188,0.701],[396.05541229248047,206.37322998046875,0.717],[392.75179290771484,202.05722045898438,0.733],[388.32173919677734,197.73190307617188,0.751],[383.09093475341797,193.81817626953125,0.77],[376.89351654052734,189.4761962890625,0.783],[372.0578842163086,184.74362182617188,0.801],[368.68965911865234,180.74893188476562,0.816],[366.33629608154297,178.90234375,0.833],[364.81359100341797,178.2418212890625,0.85],[364.1363754272461,178.22726440429688,0.866]]]}"
57,2026-02-18 09:16:54.57323,ω,"{""letter"":""ω"",""timestamp"":""2026-02-18T09:16:54.483Z"",""num_strokes"":1,""strokes"":[[[216,81,0],[215,86,0.044],[215,88,0.061],[213,97,0.078],[212,105,0.095],[211,113,0.112],[211,121,0.128],[211,128,0.144],[211,134,0.161],[212,140,0.179],[214,145,0.195],[215,149,0.212],[217,151,0.229],[218,152,0.245],[219,152,0.262],[221,153,0.278],[223,154,0.295],[226,154,0.312],[228,154,0.329],[231,154,0.346],[235,154,0.362],[239,154,0.378],[243,151,0.395],[247,146,0.412],[250,141,0.429],[252,134,0.445],[255,127,0.462],[256,121,0.479],[257,116,0.495],[257,113,0.512],[257,110,0.529],[257,108,0.545],[257,107,0.562],[257,106,0.578],[257,107,0.695],[257,111,0.712],[257,115,0.729],[257,120,0.745],[257,126,0.762],[257,133,0.779],[257,138,0.796],[257,144,0.813],[257,147,0.829],[257,150,0.845],[259,151,0.862],[262,151,0.878],[267,150,0.895],[274,145,0.912],[281,141,0.929],[288,137,0.946],[295,133,0.962],[299,130,0.978],[303,128,0.995],[305,126,1.012],[307,123,1.029],[310,120,1.045],[311,115,1.062],[313,109,1.079],[314,103,1.096],[314,95,1.112],[315,88,1.128],[315,83,1.145],[315,80,1.161],[315,79,1.178]]]}"
72,2026-02-18 09:26:41.813747,ω,"{""letter"":""ω"",""timestamp"":""2026-02-18T09:26:41.566Z"",""num_strokes"":1,""strokes"":[[[203.33333333333331,150.66666666666663,0],[198,158,0.061],[198,162,0.078],[196,168,0.095],[193.33333333333331,176.33333333333326,0.111],[191,187,0.128],[188.33333333333331,198.33333333333326,0.144],[187.66666666666666,210.33333333333326,0.161],[187.66666666666666,221,0.178],[187.66666666666666,231.33333333333326,0.194],[190,240.66666666666663,0.211],[197,247,0.228],[205.33333333333331,251,0.245],[212.66666666666666,253,0.261],[219.33333333333331,254,0.278],[226.33333333333331,254,0.295],[234.66666666666666,254,0.311],[245.33333333333331,248.66666666666663,0.328],[257.3333333333333,241.66666666666663,0.345],[269.66666666666663,231.33333333333326,0.361],[281.66666666666663,219.66666666666663,0.378],[290.66666666666663,208,0.395],[294.66666666666663,199,0.411],[295.3333333333333,192.66666666666663,0.428],[296,188.66666666666663,0.445],[296,186.33333333333326,0.461],[296.3333333333333,185.33333333333326,0.478],[296.3333333333333,188,0.528],[296.3333333333333,197.66666666666663,0.545],[296.3333333333333,211,0.562],[296.3333333333333,224.33333333333326,0.578],[295.66666666666663,236.66666666666663,0.597],[295.66666666666663,247.33333333333326,0.612],[295.66666666666663,256.66666666666663,0.629],[295.66666666666663,264,0.645],[298.3333333333333,269,0.662],[303.3333333333333,271.66666666666663,0.679],[310,272,0.695],[319.66666666666663,272,0.712],[333.3333333333333,268.33333333333326,0.728],[350.3333333333333,259,0.745],[365.66666666666663,247,0.762],[381,233,0.779],[395,217,0.795],[408.3333333333333,202,0.811],[418.3333333333333,188,0.828],[423,174.33333333333326,0.845],[423.66666666666663,159,0.862],[423.66666666666663,142.33333333333331,0.878],[423.66666666666663,126.33333333333331,0.895],[423,120.66666666666663,0.912]]]}"
86,2026-02-18 09:27:18.867673,ω,"{""letter"":""ω"",""timestamp"":""2026-02-18T09:27:18.677Z"",""num_strokes"":1,""strokes"":[[[172,164.16666666666663,0],[168.66666666666666,182.5,0.043],[167.33333333333331,190.16666666666663,0.06],[165.33333333333331,198.5,0.076],[164,208.5,0.093],[163.33333333333331,219.5,0.109],[163.33333333333331,230.83333333333326,0.126],[163.33333333333331,241.16666666666663,0.143],[164,249.5,0.159],[167.66666666666666,256.83333333333326,0.176],[172.33333333333331,262.16666666666663,0.193],[178.33333333333331,266.5,0.209],[186.33333333333331,268.83333333333326,0.226],[195.66666666666666,269.5,0.243],[206.33333333333331,269.5,0.259],[216.66666666666666,264.83333333333326,0.276],[226.66666666666666,257.5,0.293],[235.66666666666666,248.16666666666663,0.309],[244,238.5,0.326],[251,229.83333333333326,0.343],[255,222.16666666666663,0.359],[256.66666666666663,216.16666666666663,0.376],[257,212.16666666666663,0.393],[257,209.83333333333331,0.41],[257.3333333333333,208.83333333333331,0.426],[257.3333333333333,208.5,0.443],[258,210.16666666666663,0.493],[260.3333333333333,216.5,0.51],[262.66666666666663,225.16666666666663,0.527],[265.66666666666663,233.83333333333326,0.543],[268.3333333333333,242.16666666666663,0.56],[270.66666666666663,250.16666666666663,0.576],[273.66666666666663,257.16666666666663,0.593],[276.3333333333333,261.5,0.61],[279.3333333333333,262.83333333333326,0.626],[284.66666666666663,262.83333333333326,0.643],[296.3333333333333,252.5,0.66],[315,236.83333333333326,0.676],[333.3333333333333,221.83333333333326,0.693],[349.3333333333333,207.5,0.71],[361.3333333333333,190.83333333333331,0.726],[369.66666666666663,171.16666666666663,0.743],[373,150.16666666666663,0.76],[373.3333333333333,126.83333333333331,0.776],[373.66666666666663,103.83333333333331,0.793],[374.3333333333333,84.83333333333331,0.81],[374.66666666666663,70.83333333333331,0.827]]]}"
283,2026-02-18 13:15:24.190702,ω,"{""letter"":""ω"",""timestamp"":""2026-02-18T13:15:24.953Z"",""num_strokes"":1,""strokes"":[[[194.41741943359375,173.1219482421875,0],[193.41741943359375,173.1219482421875,0.071],[193.41741943359375,174.1219482421875,0.079],[193.41741943359375,177.1219482421875,0.095],[194.41741943359375,181.1219482421875,0.112],[194.41741943359375,183.1219482421875,0.128],[195.41741943359375,187.1219482421875,0.145],[196.41741943359375,190.1219482421875,0.162],[196.41741943359375,192.1219482421875,0.179],[198.41741943359375,196.1219482421875,0.195],[199.41741943359375,200.1219482421875,0.212],[200.41741943359375,204.1219482421875,0.229],[201.41741943359375,208.1219482421875,0.245],[202.41741943359375,210.1219482421875,0.262],[202.41741943359375,212.1219482421875,0.279],[203.41741943359375,214.1219482421875,0.295],[205.41741943359375,216.1219482421875,0.327],[206.41741943359375,216.1219482421875,0.335],[208.41741943359375,217.1219482421875,0.345],[211.41741943359375,218.1219482421875,0.362],[214.41741943359375,221.1219482421875,0.378],[215.41741943359375,221.1219482421875,0.395],[217.41741943359375,221.1219482421875,0.445],[218.41741943359375,221.1219482421875,0.462],[219.41741943359375,221.1219482421875,0.479],[222.41741943359375,219.1219482421875,0.496],[224.41741943359375,215.1219482421875,0.512],[224.41741943359375,213.1219482421875,0.529],[225.41741943359375,211.1219482421875,0.546],[225.41741943359375,208.1219482421875,0.563],[226.41741943359375,202.1219482421875,0.579],[226.41741943359375,198.1219482421875,0.596],[227.41741943359375,195.1219482421875,0.613],[227.41741943359375,194.1219482421875,0.629],[227.41741943359375,193.1219482421875,0.646],[227.41741943359375,192.1219482421875,0.663],[227.41741943359375,192.1219482421875,0.687],[227.41741943359375,191.1219482421875,0.704],[227.41741943359375,190.1219482421875,0.72],[227.41741943359375,189.1219482421875,0.729],[227.41741943359375,190.1219482421875,0.896],[228.41741943359375,192.1219482421875,0.913],[230.41741943359375,196.1219482421875,0.929],[231.41741943359375,199.1219482421875,0.946],[232.41741943359375,202.1219482421875,0.963],[233.41741943359375,204.1219482421875,0.98],[233.41741943359375,205.1219482421875,0.997],[233.41741943359375,206.1219482421875,1.013],[233.41741943359375,208.1219482421875,1.03],[234.41741943359375,209.1219482421875,1.046],[234.41741943359375,210.1219482421875,1.063],[235.41741943359375,212.1219482421875,1.08],[235.41741943359375,213.1219482421875,1.097],[236.41741943359375,213.1219482421875,1.368],[238.41741943359375,214.1219482421875,1.439],[238.41741943359375,215.1219482421875,1.447],[241.41741943359375,217.1219482421875,1.463],[244.41741943359375,219.1219482421875,1.48],[247.41741943359375,221.1219482421875,1.496],[249.41741943359375,222.1219482421875,1.513],[250.41741943359375,223.1219482421875,1.53],[251.41741943359375,223.1219482421875,1.546],[252.41741943359375,223.1219482421875,1.624],[253.41741943359375,223.1219482421875,1.632],[254.41741943359375,223.1219482421875,1.647],[259.41741943359375,223.1219482421875,1.664],[263.41741943359375,220.1219482421875,1.68],[266.41741943359375,217.1219482421875,1.697],[268.41741943359375,215.1219482421875,1.713],[269.41741943359375,213.1219482421875,1.73],[269.41741943359375,208.1219482421875,1.747],[270.41741943359375,206.1219482421875,1.764],[271.41741943359375,202.1219482421875,1.78],[272.41741943359375,199.1219482421875,1.797],[272.41741943359375,195.1219482421875,1.814],[272.41741943359375,194.1219482421875,1.83],[272.41741943359375,192.1219482421875,1.847],[272.41741943359375,192.1219482421875,1.872],[272.41741943359375,191.1219482421875,1.914],[272.41741943359375,190.1219482421875,1.93],[272.41741943359375,189.1219482421875,1.947],[272.41741943359375,188.1219482421875,2.048],[272.41741943359375,187.1219482421875,2.064],[272.41741943359375,186.1219482421875,2.081],[272.41741943359375,185.1219482421875,2.097],[272.41741943359375,184.1219482421875,2.2],[272.41741943359375,183.1219482421875,2.32],[272.41741943359375,182.1219482421875,2.336],[272.41741943359375,181.1219482421875,2.751]]]}"
104,2026-02-18 09:30:56.260406,ω,"{""letter"":""ω"",""timestamp"":""2026-02-18T09:30:55.839Z"",""num_strokes"":1,""strokes"":[[[275.98645782470703,189.9614715576172,0],[275.98645782470703,189.9614715576172,0.003],[276.30521392822266,189.8628387451172,0.011],[276.6090316772461,189.85520935058594,0.02],[276.94271087646484,189.85520935058594,0.028],[277.04895782470703,189.85520935058594,0.036],[277.04895782470703,190.11424255371094,0.045],[277.04895782470703,190.17396545410156,0.053],[277.04895782470703,190.3718719482422,0.061],[277.04895782470703,190.59165954589844,0.069],[277.04895782470703,190.8114471435547,0.079],[277.04895782470703,191.32362365722656,0.086],[277.04895782470703,191.84584045410156,0.094],[277.04895782470703,192.71006774902344,0.102],[277.04895782470703,193.32325744628906,0.112],[277.04895782470703,194.31700134277344,0.119],[277.1552200317383,195.37950134277344,0.128],[277.26146697998047,196.5482635498047,0.136],[277.47396087646484,197.8229217529297,0.144],[277.77709197998047,199.61949157714844,0.152],[278.00521087646484,200.9569549560547,0.161],[278.2177200317383,202.6569366455078,0.169],[278.61597442626953,204.37013244628906,0.177],[278.85486602783203,205.6847686767578,0.185],[279.2798843383789,207.15660095214844,0.194],[279.4923629760742,207.77915954589844,0.203],[279.8111343383789,208.28749084472656,0.211],[280.32222747802734,208.7982635498047,0.219],[280.76737213134766,209.1371612548828,0.228],[281.4045181274414,209.45594787597656,0.236],[282.5732650756836,209.8809051513672,0.244],[283.7249984741211,210.18263244628906,0.253],[284.8041763305664,210.1996612548828,0.261],[286.06529998779297,210.1996612548828,0.269],[287.3829879760742,210.15452575683594,0.277],[288.7118148803711,209.63890075683594,0.286],[290.0815963745117,208.8645782470703,0.294],[291.17708587646484,207.8829803466797,0.302],[291.5503463745117,207.0656280517578,0.31],[292.4291763305664,205.3406219482422,0.319],[293.0496597290039,204.05555725097656,0.327],[293.70694732666016,202.5156707763672,0.336],[294.1795120239258,201.09132385253906,0.344],[294.5250015258789,200.05421447753906,0.352],[294.9500045776367,198.77915954589844,0.36],[295.26876068115234,197.5572967529297,0.369],[295.37500762939453,196.65452575683594,0.377],[295.4812545776367,195.82118225097656,0.386],[295.5875015258789,195.59825134277344,0.394],[295.6937484741211,195.59202575683594,0.402],[295.6937484741211,195.69825744628906,0.419],[295.6937484741211,196.1013946533203,0.427],[295.6937484741211,196.53334045410156,0.435],[295.6937484741211,197.02638244628906,0.444],[296.0125045776367,197.92921447753906,0.452],[296.4371566772461,198.77915954589844,0.46],[297.0746536254883,199.36354064941406,0.469],[297.9246597290039,200.21324157714844,0.477],[299.3250045776367,201.14796447753906,0.485],[300.2086868286133,201.8600616455078,0.494],[301.9833450317383,202.8007049560547,0.502],[303.4371566772461,203.66700744628906,0.51],[304.79862213134766,204.1691436767578,0.519],[305.93611907958984,204.71458435058594,0.527],[306.63611602783203,204.83473205566406,0.536],[307.48612213134766,204.83473205566406,0.544],[308.97986602783203,204.9409637451172,0.552],[309.6638870239258,204.83473205566406,0.56],[310.9388961791992,204.3566436767578,0.569],[312.2666702270508,203.71910095214844,0.577],[313.80521392822266,202.54652404785156,0.585],[314.7406234741211,201.2982635498047,0.593],[315.45381927490234,199.89479064941406,0.602],[316.23197174072266,197.13853454589844,0.611],[316.4632034301758,193.97361755371094,0.619],[316.7576675415039,190.72776794433594,0.628],[316.88822174072266,187.7656707763672,0.635],[316.88822174072266,185.34999084472656,0.644],[316.88822174072266,183.5815887451172,0.652],[316.7288284301758,182.73719787597656,0.657]]]}"
127,2026-02-18 09:31:42.123384,ω,"{""letter"":""ω"",""timestamp"":""2026-02-18T09:31:41.997Z"",""num_strokes"":1,""strokes"":[[[276.3333333333333,171.66666666666663,0],[272.3333333333333,182.33333333333326,0.078],[272.3333333333333,187.33333333333326,0.08],[272,196.66666666666663,0.095],[271,205.66666666666663,0.112],[270.3333333333333,217.66666666666663,0.128],[270.3333333333333,223.33333333333326,0.144],[271.3333333333333,226,0.161],[274.66666666666663,226.33333333333326,0.177],[278.66666666666663,226.33333333333326,0.194],[283.3333333333333,223.66666666666663,0.211],[289.66666666666663,217.66666666666663,0.227],[296.3333333333333,209.33333333333326,0.244],[302,200.66666666666663,0.26],[304.3333333333333,193.66666666666663,0.277],[304.66666666666663,188.33333333333326,0.294],[304.66666666666663,183.66666666666663,0.31],[304.66666666666663,178.66666666666663,0.327],[304.66666666666663,175.33333333333331,0.344],[304.66666666666663,174,0.361],[304.66666666666663,177.66666666666663,0.411],[306,185.66666666666663,0.428],[307.66666666666663,194.33333333333326,0.444],[309.66666666666663,202.66666666666663,0.462],[311.66666666666663,209.66666666666663,0.478],[313.3333333333333,215.33333333333326,0.495],[315.66666666666663,218.66666666666663,0.51],[317.3333333333333,219,0.527],[319,219,0.544],[320.66666666666663,217.66666666666663,0.56],[323,212.66666666666663,0.577],[325,206,0.594],[326.66666666666663,197.33333333333326,0.611],[328,185.33333333333326,0.627],[329.3333333333333,172.66666666666663,0.644],[329.3333333333333,164.66666666666663,0.66]]]}"
