id,created_at,char,char_data
5,2026-02-16 21:51:39.373105,υ,"{""letter"":""υ"",""timestamp"":""2026-02-16T21:51:39.444Z"",""num_strokes"":1,""strokes"":[[[202.60000610351562,217.59999084472656,0],[202.60000610351562,218.59999084472656,0.001],[202.60000610351562,224.59999084472656,0.017],[205.60000610351562,236.59999084472656,0.034],[210.60000610351562,253.59999084472656,0.05],[217.60000610351562,271.59999084472656,0.067],[225.60000610351562,288.59999084472656,0.084],[233.60000610351562,311.59999084472656,0.1],[244.60000610351562,334.59999084472656,0.117],[253.60000610351562,352.59999084472656,0.134],[263.6000061035156,361.59999084472656,0.15],[271.6000061035156,363.59999084472656,0.167],[282.6000061035156,362.59999084472656,0.184],[293.6000061035156,356.59999084472656,0.2],[303.6000061035156,350.59999084472656,0.217],[315.6000061035156,343.59999084472656,0.234],[327.6000061035156,337.59999084472656,0.25],[337.6000061035156,331.59999084472656,0.267],[344.6000061035156,319.59999084472656,0.284],[345.6000061035156,297.59999084472656,0.3],[346.6000061035156,270.59999084472656,0.317],[342.6000061035156,237.59999084472656,0.334],[337.6000061035156,207.59999084472656,0.35],[335.6000061035156,183.59999084472656,0.367],[333.6000061035156,165.59999084472656,0.384],[332.6000061035156,148.59999084472656,0.4],[331.6000061035156,137.59999084472656,0.417],[331.6000061035156,127.59999084472656,0.434],[331.6000061035156,122.59999084472656,0.45],[332.6000061035156,121.59999084472656,0.458]]]}"
11,2026-02-17 21:39:58.398697,υ,"{""letter"":""υ"",""timestamp"":""2026-02-17T21:39:59.203Z"",""num_strokes"":1,""strokes"":[[[241.19998168945312,219.39999389648438,0],[242.19998168945312,219.39999389648438,0.037],[244.19998168945312,223.39999389648438,0.053],[244.19998168945312,225.39999389648438,0.07],[245.19998168945312,229.39999389648438,0.086],[245.19998168945312,230.39999389648438,0.103],[246.19998168945312,234.39999389648438,0.12],[249.19998168945312,241.39999389648438,0.136],[250.19998168945312,249.39999389648438,0.153],[252.19998168945312,255.39999389648438,0.17],[253.19998168945312,259.3999938964844,0.186],[255.19998168945312,261.3999938964844,0.203],[257.1999816894531,265.3999938964844,0.22],[261.1999816894531,267.3999938964844,0.236],[264.1999816894531,269.3999938964844,0.253],[268.1999816894531,271.3999938964844,0.27],[272.1999816894531,273.3999938964844,0.286],[276.1999816894531,275.3999938964844,0.303],[282.1999816894531,276.3999938964844,0.32],[287.1999816894531,277.3999938964844,0.336],[293.1999816894531,278.3999938964844,0.353],[296.1999816894531,278.3999938964844,0.37],[301.1999816894531,278.3999938964844,0.386],[308.1999816894531,278.3999938964844,0.403],[313.1999816894531,278.3999938964844,0.42],[320.1999816894531,278.3999938964844,0.436],[325.1999816894531,276.3999938964844,0.453],[327.1999816894531,272.3999938964844,0.47],[329.1999816894531,267.3999938964844,0.486],[331.1999816894531,261.3999938964844,0.503],[332.1999816894531,259.3999938964844,0.52],[333.1999816894531,256.3999938964844,0.536],[335.1999816894531,254.39999389648438,0.553],[337.1999816894531,251.39999389648438,0.57],[338.1999816894531,248.39999389648438,0.586],[339.1999816894531,244.39999389648438,0.603],[340.1999816894531,241.39999389648438,0.62],[340.1999816894531,238.39999389648438,0.636],[340.1999816894531,237.39999389648438,0.654],[340.1999816894531,236.39999389648438,0.67],[340.1999816894531,235.39999389648438,0.691],[340.1999816894531,234.39999389648438,0.703],[340.1999816894531,233.39999389648438,0.72],[340.1999816894531,233.39999389648438,0.737],[340.1999816894531,232.39999389648438,0.753],[339.1999816894531,232.39999389648438,0.77],[338.1999816894531,232.39999389648438,0.786],[337.1999816894531,231.39999389648438,0.803],[337.1999816894531,230.39999389648438,0.82],[336.1999816894531,230.39999389648438,0.837],[335.1999816894531,229.39999389648438,0.853],[335.1999816894531,229.39999389648438,0.87],[335.1999816894531,227.39999389648438,0.886],[335.1999816894531,224.39999389648438,0.903],[335.1999816894531,221.39999389648438,0.92],[335.1999816894531,220.39999389648438,0.936],[335.1999816894531,219.39999389648438,0.954],[335.1999816894531,218.39999389648438,0.97],[335.1999816894531,217.39999389648438,0.986]]]}"
13,2026-02-17 21:40:07.338204,υ,"{""letter"":""υ"",""timestamp"":""2026-02-17T21:40:08.142Z"",""num_strokes"":1,""strokes"":[[[218.19998168945312,219.39999389648438,0],[218.19998168945312,220.39999389648438,0.066],[218.19998168945312,225.39999389648438,0.079],[219.19998168945312,229.39999389648438,0.096],[221.19998168945312,240.39999389648438,0.112],[222.19998168945312,253.39999389648438,0.129],[225.19998168945312,269.3999938964844,0.146],[229.19998168945312,286.3999938964844,0.162],[235.19998168945312,301.3999938964844,0.179],[242.19998168945312,313.3999938964844,0.196],[251.19998168945312,324.3999938964844,0.212],[260.1999816894531,332.3999938964844,0.229],[267.1999816894531,337.3999938964844,0.246],[273.1999816894531,340.3999938964844,0.262],[277.1999816894531,340.3999938964844,0.279],[281.1999816894531,341.3999938964844,0.296],[287.1999816894531,339.3999938964844,0.312],[295.1999816894531,337.3999938964844,0.329],[303.1999816894531,333.3999938964844,0.346],[310.1999816894531,326.3999938964844,0.362],[317.1999816894531,317.3999938964844,0.379],[321.1999816894531,304.3999938964844,0.396],[323.1999816894531,289.3999938964844,0.412],[323.1999816894531,272.3999938964844,0.429],[321.1999816894531,256.3999938964844,0.446],[321.1999816894531,241.39999389648438,0.462],[321.1999816894531,228.39999389648438,0.479],[323.1999816894531,220.39999389648438,0.496],[325.1999816894531,214.39999389648438,0.513],[325.1999816894531,212.39999389648438,0.529],[326.1999816894531,211.39999389648438,0.546]]]}"
23,2026-02-17 21:47:59.036998,υ,"{""letter"":""υ"",""timestamp"":""2026-02-17T21:47:58.941Z"",""num_strokes"":1,""strokes"":[[[232.54546356201172,184.95455932617188,0],[233.93929290771484,207.96981811523438,0.112],[235.07637786865234,218.54550170898438,0.129],[235.40697479248047,227.11972045898438,0.145],[236.47408294677734,236.12606811523438,0.161],[238.20633697509766,245.00143432617188,0.178],[240.37891387939453,254.07284545898438,0.195],[243.58629608154297,264.35516357421875,0.212],[247.03588104248047,273.1889343261719,0.229],[251.3473129272461,282.3661193847656,0.247],[255.94603729248047,291.89239501953125,0.262],[260.79723358154297,301.34552001953125,0.28],[266.38565826416016,310.2787780761719,0.296],[273.07564544677734,318.1108093261719,0.312],[280.13175201416016,324.3657531738281,0.33],[287.47339630126953,328.6150817871094,0.345],[296.08773040771484,330.1818542480469,0.361],[304.7269515991211,328.7308044433594,0.379],[314.3316879272461,325.4037780761719,0.396],[323.7191390991211,319.9620056152344,0.412],[331.45845794677734,312.8231506347656,0.429],[338.33773040771484,305.2666931152344,0.446],[343.49610137939453,297.87713623046875,0.462],[347.17508697509766,289.30645751953125,0.479],[349.9566879272461,279.3544006347656,0.496],[351.89595794677734,268.9105224609375,0.512],[352.53304290771484,257.8117980957031,0.529],[352.97338104248047,247.32208251953125,0.546],[353.0770950317383,236.63067626953125,0.562],[353.39525604248047,226.78622436523438,0.579],[353.56002044677734,218.41583251953125,0.597],[353.10689544677734,211.2340087890625,0.612],[352.72728729248047,205.03692626953125,0.629],[352.72728729248047,199.93679809570312,0.646],[352.72728729248047,195.55859375,0.662],[352.72728729248047,192.30007934570312,0.679],[352.72728729248047,190.7535400390625,0.696],[352.72728729248047,189.78659057617188,0.712],[352.72728729248047,189.19354248046875,0.729],[352.72728729248047,188.8636474609375,0.746],[352.72728729248047,188.84091186523438,0.762],[353.08524322509766,189.21627807617188,0.896],[353.1363754272461,189.59091186523438,0.906]]]}"
39,2026-02-17 21:49:03.501488,υ,"{""letter"":""υ"",""timestamp"":""2026-02-17T21:49:03.410Z"",""num_strokes"":1,""strokes"":[[[251.5909194946289,177.54550170898438,0],[256.63956451416016,213.45489501953125,0.1],[256.68253326416016,228.78445434570312,0.115],[257.88175201416016,243.85516357421875,0.132],[261.14278411865234,256.01922607421875,0.149],[266.6353073120117,265.2904968261719,0.166],[273.0298385620117,271.6612243652344,0.183],[280.96949005126953,276.07781982421875,0.199],[290.68824005126953,277.88848876953125,0.215],[301.67259979248047,277.0944519042969,0.232],[311.43680572509766,272.7972412109375,0.249],[320.64453887939453,264.3647155761719,0.265],[327.17578887939453,255.59872436523438,0.282],[332.1761703491211,247.13641357421875,0.299],[336.3427200317383,237.08523559570312,0.315],[339.00923919677734,226.52487182617188,0.332],[339.45455169677734,216.58847045898438,0.349],[339.45455169677734,205.74609375,0.366],[339.5298385620117,195.76882934570312,0.382],[339.6818313598633,185.98260498046875,0.399],[339.4581069946289,179.453125,0.419],[338.88851165771484,176.68609619140625,0.432],[338.40023040771484,175.61895751953125,0.449],[338.06322479248047,175.03515625,0.466],[338.0454635620117,174.36398315429688,0.482],[338.55860137939453,172.70065307617188,0.499],[339.00000762939453,171.90908813476562,0.511]]]}"
55,2026-02-18 09:16:45.616908,υ,"{""letter"":""υ"",""timestamp"":""2026-02-18T09:16:45.532Z"",""num_strokes"":1,""strokes"":[[[234,87,0],[234,98,0.045],[234,99,0.062],[232,113,0.079],[232,121,0.096],[232,128,0.112],[233,135,0.129],[236,142,0.146],[238,149,0.162],[240,154,0.179],[241,158,0.196],[242,161,0.212],[244,163,0.229],[246,167,0.246],[248,170,0.262],[251,172,0.279],[253,174,0.295],[255,174,0.312],[258,173,0.329],[262,167,0.346],[266,162,0.362],[269,157,0.379],[273,153,0.396],[275,150,0.412],[279,146,0.429],[282,142,0.446],[285,137,0.463],[289,130,0.479],[292,125,0.496],[294,120,0.513],[295,115,0.529],[296,112,0.546],[296,110,0.563],[296,108,0.579],[296,106,0.596],[296,105,0.613],[296,103,0.63]]]}"
70,2026-02-18 09:26:32.358529,υ,"{""letter"":""υ"",""timestamp"":""2026-02-18T09:26:32.170Z"",""num_strokes"":1,""strokes"":[[[247.66666666666666,194.16666666666663,0],[242,205.16666666666663,0.028],[242,213.16666666666663,0.045],[241.33333333333331,223.83333333333326,0.061],[240,236.5,0.078],[239,251.83333333333326,0.094],[239,268.5,0.111],[242.33333333333331,285.83333333333326,0.128],[250.66666666666666,299.16666666666663,0.144],[261.3333333333333,309.83333333333326,0.161],[274,315.83333333333326,0.178],[288.66666666666663,316.83333333333326,0.195],[303.3333333333333,315.5,0.211],[319,306.83333333333326,0.228],[330.3333333333333,296.16666666666663,0.245],[337,281.16666666666663,0.261],[340.3333333333333,257.5,0.278],[343,224.16666666666663,0.295],[346.66666666666663,190.16666666666663,0.311],[348,165.83333333333331,0.328],[348.3333333333333,155.16666666666663,0.345],[350.66666666666663,153.5,0.361],[356.66666666666663,153.16666666666663,0.378]]]}"
84,2026-02-18 09:27:13.329892,υ,"{""letter"":""υ"",""timestamp"":""2026-02-18T09:27:13.139Z"",""num_strokes"":1,""strokes"":[[[215.33333333333331,118,0],[215.33333333333331,134.66666666666663,0.044],[216,144.66666666666663,0.061],[219,156.33333333333331,0.078],[222.33333333333331,167.33333333333331,0.094],[226.33333333333331,179.33333333333326,0.111],[231.33333333333331,190.33333333333326,0.128],[237.66666666666666,200.66666666666663,0.145],[244.66666666666666,209.66666666666663,0.161],[252,215,0.178],[259.3333333333333,216,0.195],[268.3333333333333,214,0.212],[280.3333333333333,201,0.228],[294,180.66666666666663,0.245],[305.3333333333333,157.66666666666663,0.262],[312,134.66666666666663,0.278],[315,114,0.295],[315.3333333333333,98,0.312],[315.3333333333333,84.66666666666663,0.328],[315.66666666666663,75.66666666666663,0.345],[318.66666666666663,68,0.362],[320.66666666666663,64.66666666666663,0.379]]]}"
101,2026-02-18 09:30:46.076929,υ,"{""letter"":""υ"",""timestamp"":""2026-02-18T09:30:45.651Z"",""num_strokes"":1,""strokes"":[[[295.4281234741211,187.53854370117188,0],[295.37500762939453,187.64480590820312,0.002],[295.3218765258789,187.93194580078125,0.008],[295.28055572509766,188.15243530273438,0.016],[295.0680618286133,188.3885498046875,0.025],[294.6979446411133,188.60104370117188,0.033],[294.4298629760742,188.897216796875,0.042],[294.21805572509766,189.32119750976562,0.05],[294.05973052978516,189.78439331054688,0.058],[293.8875045776367,190.24758911132812,0.067],[293.8343734741211,191.009033203125,0.074],[293.8343734741211,191.85833740234375,0.083],[294.01876068115234,192.70175170898438,0.091],[294.1531295776367,193.55868530273438,0.1],[294.1531295776367,194.6722412109375,0.108],[294.1531295776367,195.1878662109375,0.117],[294.1531295776367,195.944091796875,0.125],[294.2593765258789,196.68853759765625,0.132],[294.3656234741211,197.47189331054688,0.142],[294.47188568115234,198.375,0.15],[294.8715286254883,199.51840209960938,0.159],[295.0875015258789,200.58404541015625,0.166],[295.2156295776367,201.66806030273438,0.174],[295.53438568115234,202.94305419921875,0.183],[295.7468795776367,204.05868530273438,0.191],[296.06563568115234,204.855224609375,0.2],[296.36112213134766,205.61737060546875,0.208],[296.5965347290039,206.26043701171875,0.216],[296.8090286254883,206.76776123046875,0.224],[297.35660552978516,207.52743530273438,0.232],[298.2527847290039,208.39276123046875,0.241],[299.1121597290039,209.44271850585938,0.249],[299.62430572509766,210.22048950195312,0.258],[300.80870819091797,210.8350830078125,0.266],[301.6961898803711,211.07015991210938,0.275],[302.5458450317383,211.07015991210938,0.283],[303.78160858154297,210.36770629882812,0.291],[304.8309097290039,209.2100830078125,0.299],[305.6798629760742,208.52053833007812,0.307],[306.8486099243164,207.29901123046875,0.316],[308.1979446411133,206.38507080078125,0.324],[309.46459197998047,205.652099609375,0.333],[310.7958450317383,204.89202880859375,0.341],[311.9746627807617,204.11151123046875,0.349],[312.6916732788086,203.04931640625,0.357],[313.2229232788086,201.56185913085938,0.366],[313.6479263305664,199.12158203125,0.374],[313.6479263305664,197.3125,0.382],[313.6479263305664,194.81597900390625,0.391],[313.6479263305664,191.73715209960938,0.399],[313.6479263305664,189.61007690429688,0.407],[313.5416946411133,187.69793701171875,0.412]]]}"
122,2026-02-18 09:31:35.746913,υ,"{""letter"":""υ"",""timestamp"":""2026-02-18T09:31:35.606Z"",""num_strokes"":1,""strokes"":[[[287.66666666666663,235,0],[281,251.33333333333326,0.042],[281,259.66666666666663,0.059],[281,269,0.076],[281.3333333333333,277.33333333333326,0.092],[282.3333333333333,284.66666666666663,0.109],[284,291.33333333333326,0.126],[286.3333333333333,297,0.142],[289.3333333333333,299.33333333333326,0.159],[294,299.66666666666663,0.175],[300.3333333333333,298,0.192],[307.66666666666663,291.66666666666663,0.209],[313.66666666666663,284,0.226],[317.66666666666663,276,0.242],[318.66666666666663,267.66666666666663,0.259],[318.66666666666663,258.66666666666663,0.276],[316,252.66666666666663,0.292],[315,250,0.309],[315,248.66666666666663,0.325],[315,247.33333333333326,0.342]]]}"
